company_name,recruiter_name,job_title,location,employment_type,job_level,job_function,salary_lower,salary_upper,salary_period,num_applications,posted_date,address,experience,closing_date,job_description,Salary
SGMP PTE. LTD.,,Creative AI Website Designer (AI Technology Focus),East,Contract,Professional,Customer Service,2000,3000,Monthly,0,31 Mar 2024,"ESR BIZPARK @ CHAI CHEE, 750C CHAI CHEE ROAD 469003",2.0,30 Apr 2024,"Roles & Responsibilities
Job Overview:
We are seeking a Creative AI Website Designer with a focus on AI-related technology to develop compelling and functional website designs. The designer will be responsible for creating original and innovative website designs and must demonstrate the ability to integrate AI-related elements into the design process. Additionally, showcasing abilities in creating captivating designs for other graphic media will be essential.
Creative AI Website Designer Requirements:
Technical Skills:

Proficiency in design software such as Adobe Photoshop, Illustrator, Sketch, etc.

Familiarity with AI-related design tools and platforms

Knowledge of web development skills such as HTML, CSS, JavaScript is a plus.

Familiarity with front-end frameworks for web design, such as Bootstrap.

Experience in print and other graphic design is advantageous.
AI Technology and Design Capability:

Experience or knowledge of integrating AI-related elements into web design.

Understanding of AI-driven user interaction and personalization.

Ability to create clean, attractive, and user-friendly website interface designs with AI integration.

Attention to design details and integration of website designs with AI-driven functionalities.
Creativity and Professional Knowledge:

Exceptional creative thinking and visual artistry.

Familiarity with the latest trends and best practices in AI-driven website design.

Understanding of UX/UI design principles to create optimal website interfaces with AI elements.
Communication and Team Collaboration:
Excellent communication skills to articulate and understand design requirements clearly.

Strong team player with the ability to closely collaborate with AI developers, data scientists, and product teams.

Active participation in discussions and problem-solving abilities related to AI-driven design features.
Professional Attitude:
Strong time management and organizational skills to handle multiple tasks effectively.

Maintains high standards for their design work and accepts and applies feedback.

Passion for AI-driven design and willingness to take on challenges and continuously learn in this dynamic field.
Educational Background and Career Commitment:
Welcoming applications from Polytechnic, ITE students, and individuals with relevant educational backgrounds.

Candidates should demonstrate a strong commitment to their career and professional development.
This Creative AI Website Designer role is responsibility-based and challenging, requiring a proactive attitude and a strong sense of responsibility when working with AI-related design aspects. If you hold these qualifications and are interested in this position, please submit your resume for consideration to cliffordng@sgmp.asia.",2000-3000 Monthly
ONEBYTE PTE. LTD.,,AI Engineer,East,Permanent,Professional,Engineering,6000,8000,Monthly,12,28 Mar 2024,"UB POINT, 61 UBI AVENUE 1 408941",3.0,18 Apr 2024,"Roles & Responsibilities
Responsibilities:

Collaborate with cross-functional teams to design and implement AI models.
Develop and deploy machine learning algorithms and deep learning models.
Optimize AI applications for performance and scalability.
Integrate AI solutions into existing systems to improve efficiency.
Stay updated on the latest AI technologies and trends.
Ensure the quality and reliability of AI solutions through rigorous testing.

Requirements:

Bachelor's or Master's degree in Computer Science, Engineering, or related field.
Proficiency in programming languages such as Python, Java, or C++.
Experience with popular machine learning frameworks like TensorFlow or PyTorch.
Strong understanding of data processing and visualization techniques.
Excellent problem-solving and critical thinking skills.
Effective communication and teamwork abilities.

Preferred Skillset:

Familiarity with cloud platforms like AWS, GCP, or Azure.
Knowledge of natural language processing and computer vision.
Previous experience working on AI projects in a professional setting.",6000-8000 Monthly
INTEL TECHNOLOGY ASIA PTE LTD,Recommended based on your skills & job applications,Technical Sales Specialist (TSS): AI for Edge,Central,Permanent,Senior Management,Information Technology10 Years Exp,15000,30000,Monthly,23,13 Mar 2024,"Aperia Tower, 10 Kallang Avenue 339510",10.0,12 Apr 2024,"Roles & Responsibilities
Provides technical expertise to Intel sales teams, external partners, and end customers. Acts as a key advisor and thought leader to the technical sales teams, while driving vision, value, and strategy around technical solutions. Understands the business use case and technical merits of a solution, co-owns relationships with customer/partner decisionmakers to solve complex challenges across system(s) and influences the customers purchasing decision for specific accounts. Supports Intel sales professionals, including those in technical sales roles, in design and deal win engagements by delivering Intel platform and portfolio value propositions and providing ongoing technical support on product briefings. Understands competitive landscape to deliver use case based benchmarks and drive customer driven technical incubations. Supports customer design win needs and facilitates product and program updates. Liaises with BUs to relay roadmap, product, program and technical updates to field sales and external partner teams. Plans and implements training roadmap, assets, schedule, availability, and delivery. Articulates the voice of customer back to product development teams to help define platform enabling, roadmap, program, samples, and other enabling requirements. Note: This is a commissioned sales position.
Job Requirments:
Bachelor's Degree or equivalent in Electronics Engineering
Provide and coordinate highly consultative technical software support to the country field team covered accounts and ISVs, driving enabling and optimization of edge applications, providing initial DevCloud support and enabling new greenfield application development and performance optimizations.
Regional customer support and will be responsible for regional team spanning multiple sales organizations and BU resources to achieve the sales team's goals. Highly proficient in public speaking and connecting with developers.
Manage a very flexible work schedule that will include travel and coordinating work across multiple time zones.
Experience with commercial development AI, machine learning and big data frameworks.
Experience of tools like OpenVINO, Tensorflow, Pytorch
Proficiency in C/C++/Python
Model training by using the ML frameworks.
Knowledge of deep learning, CPU/GPU architecture.",15000-30000 Monthly
KNOVEL ENGINEERING PTE. LTD.,,Software Developer (AI Solutions),Central,Permanent,Executive,Engineering,5500,9000,Monthly,54,28 Mar 2024,"TAI SENG CENTRE, 3 IRVING ROAD 369522",,27 Apr 2024,"Roles & Responsibilities
Description:
You will be part of the team to interact with our customers to create innovative AI based solutions to solve their problem statements.

Responsibilities:
Conduct research and propose relevant software and hardware systems that align to business needs.
Develop advanced AI models (Computer vision or Data Analytics), including prototyping, testing and bug fixing.
Turn researched machine learning models created by data scientists/academician in to end-to-end production grade system.
Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing.
Study and evaluate the state-of-the-art technologies, tools, and frameworks of machine learning engineering.
Qualifications:
Degree or post graduate degree in Information System, Computer Science or Computer Engineering or equivalent.
Experience with Machine Learning and Deep Learning (DNN).
Proficient in C++, Golang or python.
Experience with Nvidia Deepstream, TensorRT, Cuda.

Why you should apply:
Competitive remuneration and benefits.
Flat hierarchy with minimal bureaucracy.
Learning opportunities through courses, seminars, and conferences.
Be at the forefront of innovation and gain access to cutting-edge technologies.
Contribute to enhancing Singapore’s position as a thriving innovation hub.",5500-9000 Monthly
GOOGLE ASIA PACIFIC PTE. LTD.,,"Software Engineer III, AI / Machine Learning, Payments - India or Singapore",South,Full Time,Professional,Information Technology,7000,14000,Monthly,19,28 Mar 2024,"Google Singapore, 70 Pasir Panjang Rd 117371",2.0,11 Apr 2024,"Roles & Responsibilities
PRODUCT AREA
Whether it is paying online with Autofill, using tap and pay in stores, or using the Google Pay app, the Payments team at Google is focused on making payments simple, seamless, and secure. In addition to consumer payment technologies, the Payments team also powers the money movement between Google and its consumers and businesses.

JOB DESCRIPTION
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

ADDITIONAL JOB DESCRIPTION
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.

Qualifications
JOB RESPONSIBILITIES
Write product or system development code.
Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.
Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).
Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.
Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.
MINIMUM QUALIFICATIONS
Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with data structures or algorithms in either an academic or industry setting.
PREFERRED QUALIFICATIONS
Master's degree or PhD in Computer Science or related technical field.
2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing.
Experience developing accessible technologies.",7000-14000 Monthly
SAP ASIA PTE. LTD.,,"Associate AI Scientist / AI Scientist – Artificial Intelligence, SAP Labs Singapore",South,Permanent,Executive,Information Technology,6000,9000,Monthly,16,28 Mar 2024,"MAPLETREE BUSINESS CITY, 30 PASIR PANJANG ROAD 117440",,27 Apr 2024,"Roles & Responsibilities
*SAP will be prioritizing candidates with full working rights in Singapore.*

About SAP
A market leader in end-to-end business application software, SAP helps more than 425,000 customers worldwide work together more efficiently. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift societies, and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives. At SAP, we build breakthroughs, together.

About SAP Labs Singapore
SAP Labs Singapore is the 20th engineering hub in the SAP Labs Network and is the newest innovation hub at SAP that drives product leadership, fosters the best talent, and aims to boost ecosystem and community engagement with a variety of initiatives.

SAP Labs Singapore has the ambition to expand significantly and become the Embedded Artificial Intelligence Hub for SAP, leveraging on core competencies in the current teams.

Your future team
Artificial Intelligence team as part of SAP Labs Singapore has experienced professionals taking on challenges posed by the SAP customers. Based in Singapore, you will have the opportunity to work on breakthrough projects addressing real-world problems, challenging norms with some of the SAP’s key customers. As part of the global product engineering team, you will participate in rich and engaging conversations with experts around the globe.
SAP Labs Singapore provides an open, modern working environment and the opportunity to become part of the global SAP engineering community.

Purpose and objectives
As an Associate AI Scientist / AI Scientist, you will work together with a team of dedicated experts including AI developers, data engineers, dev-ops engineers, and architects with a single goal of building the best-in-class AI products. You will work against fixed timelines and your success will be measured by the ability to deliver solutions matching the performance of top-notch artificial intelligence systems.
Applicants with relevant experience may be considered for AI Scientist role.

Expectations and tasks
Your tasks include:
Push the frontiers of what is possible in the area of artificial intelligence and machine learning so as to create new solutions
Explore, understand, and implement most recent technologies and approaches for data science problems
Comfortably handle multi-terabyte data sets in scale-up and scale-out environments
Strive for state-of-the art, highly accurate and scalable data science models
Understand business processes which create and consume data to be able to select best approaches, evaluate their performance and assess business relevance
Create excellence both in terms of results quality and system scalability through continuous evaluation, analysis, and refinement of the system implementation
Communicate the relevance of implemented systems and achieved results in a visual and consistent way
Work closely with the team, customers, and partners to holistically understand business and user requirements and derive adequate application development concepts
Performing quality assurance tasks
Solve complex regression issues
Ability to work in global teams with different time zones
Immerse yourself quickly into new topics, terminology, and development tasks
Educational and experience requirements
Required
Undergraduate or Post-Graduate specialization in Artificial Intelligence or Ph.D. degree in Computer Science, Mathematics, Statistics, or equivalent fields
0 to 3 years of working experience as data scientist, preferrable with an enterprise software or cloud application companies
Publication track record on deep learning, machine learning, large language, and foundational models
Proficient knowledge and track record of applying modern deep learning concepts
Track record of developing novel learning algorithms or systems
Experience with machine and deep learning software packages & libraries such as Caffe, Torch, Theano, TensorFlow, Keras, Scikit-learn, DeepLearning4j, GPT;
Hands-on with programming languages such as Python, C++, Java, Scala
Familiar with Agile/Scrum methodologies
Strong desire to overcome obstacles and make your work benefit SAP's customers
Excellent written and communication skills in English language
Optional
Operational knowledge of Linux distributions such as Redhat, Ubuntu, SUSE
Data Science experience in Large Language Models, Generative Pre-trained Transformer models, foundational models etc.
Job Segment: Data Science, AI Developer, Machine Learning, Artificial Intelligence",6000-9000 Monthly
PENTAS VISION PTE. LTD.,,AI Researcher,East,Full Time,Professional,Sciences / Laboratory / R&D,7500,15000,Monthly,9,28 Mar 2024,"THE PLAZA, 7500A BEACH ROAD 199591",3.0,27 Apr 2024,"Roles & Responsibilities
Job Responsibilities:
Apply machine learning and deep learning techniques to improve the accuracy of computer vision algorithms.
Solve computer vision challenges that can be applied to large-scale consumer experiences around the world.
Conduct creative computer vision research in camera signal processing.
Building integrated solutions that apply our technology towards specific product verticals.
Developing and maintaining the software stack.
Minimum Qualifications:
Must have a Master's degree. or more than 3 years of working experience in machine learning, computer vision, statistics, or a related field (or equivalent of professional work experience).
Knowledge and experience in machine learning, statistical modeling, and computer vision technologies.
Must be able to develop an AI algorithm based on the requirements without detailed instruction from the supervisor.
Must be proactive, cooperative, flexible, and able to respond according to the circumstances.
Must also have good communication skills and cooperate with the relevant personnel within/outside of the laboratory to fulfill the tasks.
Fluent in C/C++, Python (programming and debugging)
Experience with TensorFlow, PyTorch, Caffe, or related deep learning framework
Preferred Experience:
Working Experience in the Image sensor and semiconductor industry.
Experience in leading multiple projects in a cross-functional/cultural environment.
Working knowledge of any scripting or prototyping language (e.g. Python, MATLAB, etc.)
Knowledge of parallel computing, CUDA, OpenCL, GPGPU
Essential Skills:
Excellent networking and interpersonal skills.
Problem-solving, and analytical thinking.
Highly organized, diligent with great attention to detail.
Active listener, able to interpret and playback stakeholder requirements.
Highly driven and able to work individually and as part of a team.
We regret to inform you that only shortlisted candidates will be contacted.",7500-15000 Monthly
A*STAR RESEARCH ENTITIES,,"Scientist / Senior Scientist, AI, ARTC",West,Contract,Professional,Sciences / Laboratory / R&D,5900,11800,Monthly,2,27 Mar 2024,"Cleantech Two, 3 Cleantech Loop, #01/01 637143",5.0,26 Apr 2024,"Roles & Responsibilities
About the role
The Smart Remanufacturing Systems Group is looking for a Scientist/Senior Scientist with related research experience in machine vision and artificial intelligence. In this role, you will be responsible for driving the group's research in the area of product disassembly automation via machine vision and artificial intelligence.

Job Description & Responsibilities
-Lead and execute research efforts in implementing AI in product disassembly planning and execution
-Develop deep learning models for object recognition in complex environment
-Deliver research programmes and industry projects as per requirements, and manage respective stakeholders
-Assist in group roadmap development in the area of 'smart' disassembly
-Write and submit research proposals for individual / team grant application
-Guide, mentor and equip junior staff / engineers with fundamental AI skill sets
Requirements
-PhD in Computer Science or related Engineering disciplines
-At least 5 years of experience
-A good publication track record in machine vision and artificial intelligence
-Competence in AI model development and training
-Proficiency in Python, OpenCV, TensorFlow
-Fundamental knowledge in mechanical engineering, robotics and automation
-Candidates with prior experience of implementing AI solutions in manufacturing applications are preferred
-Ability to plan and execute independent research
-Ability to work in teams and mentor junior members in research

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",5900-11800 Monthly
A*STAR RESEARCH ENTITIES,,"Scientist / Senior Scientist, AI, ARTC",West,Contract,Professional,Sciences / Laboratory / R&D,4750,9500,Monthly,1,27 Mar 2024,"Cleantech Two, 3 Cleantech Loop, #01/01 637143",2.0,26 Apr 2024,"Roles & Responsibilities
About the role
The Smart Remanufacturing Systems Group is looking for a Scientist/Senior Scientist with related research experience in machine vision and artificial intelligence. In this role, you will be responsible for driving the group's research in the area of product disassembly automation via machine vision and artificial intelligence.

Job Description & Responsibilities
-Lead and execute research efforts in implementing AI in product disassembly planning and execution
-Develop deep learning models for object recognition in complex environment
-Deliver research programmes and industry projects as per requirements, and manage respective stakeholders
-Assist in group roadmap development in the area of 'smart' disassembly
-Write and submit research proposals for individual / team grant application
-Guide, mentor and equip junior staff / engineers with fundamental AI skill sets
Requirements
-PhD in Computer Science or related Engineering disciplines
-A good publication track record in machine vision and artificial intelligence
-Competence in AI model development and training
-Proficiency in Python, OpenCV, TensorFlow
-Fundamental knowledge in mechanical engineering, robotics and automation
-Candidates with prior experience of implementing AI solutions in manufacturing applications are preferred
-Ability to plan and execute independent research
-Ability to work in teams and mentor junior members in research

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",4750-9500 Monthly
RANDSTAD PTE. LIMITED,,Sales Manager- AI Solutions -Enterprise Clients,Central,Full Time,Manager,Information Technology,8000,10000,Monthly,9,27 Mar 2024,"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",8.0,26 Apr 2024,"Roles & Responsibilities
About my client
I am representing a cutting edge AI company that specializes in automated call services and revolutionizing the way businesses engage with their customers by offering a humanistic approach and localizing their solutions to each individual industry and region.
They have a growing list of enterprise clients ranging from Banking to Telecommunications Companies and have a growing reputation for being one of the leading AI Voice Solutions companies in the region.
As part of their local expansion , they are looking for a Sales hunter Individual with a proven sales track record to build up their brand visibility and penetrate to new markets.

About the job
Reporting to the Sales Director, your responsibilities would includes
Develop and implement strategic sales plans to expand market share, foster customer relationships, and drive revenue growth.
Identify and pursue new business opportunities, cultivating relationships with key decision-makers and stakeholders.
Build and maintain strong relationships with existing clients, ensuring satisfaction and identifying opportunities for upselling or cross-selling.
Act as a primary point of contact for major clients, addressing concerns and strategically positioning additional services.
Stay abreast of industry trends, competitive landscape, and emerging opportunities.
Streamline and optimize the sales process to ensure efficiency and effectiveness.
Utilize data and analytics to identify trends, evaluate performance, and implement improvements in collaboration with the sales operations team.
Collaborate with the marketing team to create effective lead generation strategies and campaigns.
Skills and experience required
Proven track record of success in B2B sales, preferably in the technology or AI sector.
Strong communication skill-sets with the ability to engage your audiences and being able to present to people of all levels
Able to handle a high pressure and high performing sales environment that is align with organizational”s growth strategy
If you are interested in the position, please click “apply” David Lerh (EA:94C3609/ R1769977).",8000-10000 Monthly
