job title,description,company,salary range,url
"Business Analyst
","Main Activities and Tasks
Organize and facilitate meeting including discovery sessions with stakeholders that fulfil the defined agenda, objective, timebox and capture action items.
Gather business requirements from stakeholders and turn them into an exhaustive Business Requirements Documents and Functional Specificatons Documents ready for development.
Work with the stakeholder to organize the product backlog to optimize business value including the prioritization of change request, enhancement, bug, etc.
Analyze business processes and identify areas for improvement.
Develop and maintain project plans, including timelines, deliverables, and resource requirements.
Create and maintain project documentation, including business cases, user stories, and functional specifications.
Manage client expectations and work with different parties in client organization to accelerate project progress.
Perform data analysis and develop reports to support business decisions.
Communicate project progress to stakeholders and project sponsors.
Collaborate with cross-functional teams to implement solutions and ensure project success.
Identify and manage project risks, issues, and dependencies.
Support to develop and execute test plan and test case as well as manage the bug fixes process.
Assist in the completion of the entire project life cycle from start to finish.
Knowledge and skills
Strong analytical and listening skills.
Strong organizational, planning, and problem-solving skills.
Strong interpersonal skills, collaborating and team playing.
Excellent communication and presentation skills in English
Excellent adapting way of working to environmental constraints
Ability to translate business requirements into functional requirements
Knowledge and use of Jira and Confluence
Experience
Experience in gathering Business requirements for the last 2 years
Experience working with government agencies is ideal
Good exposure to Agile/Hybrid Software Development and Agile/ Hybrid Project Development is recommended
Strong working knowledge of Jira, Confluence and Microsoft Office tools including Excel, PowerPoint, and Word is required
Strong presentation skills supported by impactful Microsoft PowerPoint slides
Knowledge in Project Management Tools, Figma, data analytics and graph drawing is a plus
Ability to maintain good documents and artefacts is crucial, e.g., BRD, Meeting notes, Change Request register, test report, risk plan/log, etc",EMQ2 TECHNOLOGY SERVICES PTE. LTD.,"$5,400 - $7,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=cb2b0daf0a02a0c6&advn=179800443906298
"Business Analyst
","Mandatory Skills Overview: As a Business Analyst work with end users to gather requirement, analyze and document it and follow Agile practices. Responsibilities: • To Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats • Construct workflow charts and diagrams; studying system capabilities; writing specifications • Define project requirements by identifying project milestones, phases and elements • Collaborate well with users, development and test team to make sure delivery meets user requirement. Requirements: • Minimum 3 years’ Financial industry experience especially in Equity trading business domain. • Well experienced in review, analyze and evaluate business requirements and user needs. • Well experienced in document requirements define scope and objectives and formulate systems • Well versed in Agile practices. • Ability to work independently and with others, extremely organized with strong time-management skills. • Basic knowledge in SQL to analyze data.",ITCAN PTE. LIMITED,"$5,000 - $7,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=720d4ba69d12876c&advn=179800443906298
"Business Analyst
","Mandatory Skills
Overview :
As a Business Analyst work with end users to gather requirement, analyze and document it and follow Agile practices.
Responsibilitie s:
To Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Construct workflow charts and diagrams; studying system capabilities; writing specifications
Define project requirements by identifying project milestones, phases and elements
Collaborate well with users, development and test team to make sure delivery meets user requirement.
Requirements :
Minimum 3 years’ Financial industry experience especially in Equity trading business domain.
Well experienced in review, analyze and evaluate business requirements and user needs.
Well experienced in document requirements define scope and objectives and formulate systems
Well versed in Agile practices.
Ability to work independently and with others, extremely organized with strong time-management skills.
Basic knowledge in SQL to analyze data.",TECHNOPALS CONSULTANTS PTE. LTD.,"$6,000 - $7,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=d4682f5549cc52c4&advn=179800443906298
"Business Analyst |Up to $9500 |East
","Company’s Profile
Julian Grey’s client is a solution provider for security and enterprise applications.

Responsibilities
Supports mapping and reviewing existing business processes for cost savings, quality improvements, increased efficiencies, and reduced risks.
Evaluates the viability and feasibility of solutions to enhance business processes.
Elicits and analyzes business and information requirements, translating them into analytic and reporting specifications.
Assists in developing business cases, defining benefits, solutions, and associated risks.
Collaborates with stakeholders on User Acceptance Testing.
Recommends, identifies, and gathers data from internal systems and external sources, ensuring data quality.
Mines data to identify trends, patterns, and correlations, designing reports using visualization tools.
Supports change management plans, develops technical documentation, and conducts user training.
Requirements
At least 3 years of relevant working experience
Holds a Bachelor's Degree in Business Analytics or equivalent
Proficient in business needs analysis, including gap analysis and capability analysis.
Experienced in business process re-engineering with knowledge of Lean Six Sigma and Agile Methodology.
Skilled in data engineering, analysis, and visualization using tools like SQL, Python, Tableau, Qlikview.
Competent in software testing.
Follow us for more updates, interview tips!
https://www.instagram.com/juliangreygroup/
https://www.linkedin.com/company/juliangreygroup/
https://www.facebook.com/juliangreygroup/
Our telegram channel for job opportunities - https://t.me/jobopportunitiessg

Interested Applicants
Please WA Bryan Tay @ 97559161
Shortlisted Candidates will be notified

Bryan Tay Reg No. R23112463
Julian Grey Corporate Advisory Pte. Ltd.
EA License No: 19C9568",JULIAN GREY CORPORATE ADVISORY PTE. LTD.,"$7,000 - $9,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=c28ba800406b90da&advn=179800443906298
"Business Analyst (Banking)
","Collate and manage all the details regarding the application for the assigned business vertical information could span from details of systems interfacing, content of the various data being posted, data held within the application etc.
Support user community on business queries and guidance on better usage of the system on daily BAU activities.
Clear understanding the scope of the project, the changes associated and support the Project Manager in impact assessment. Clearly document the rationale for projects where no impact is assessed.
For project where there is an impact, play a governance role in ensuring that the design (in terms of the level of information required from source to core processing is aligned with the strategic data flow strategy.
Collate and rationalise all stakeholders’ requirements and walkthrough these requirements with team
Actively partnering with the team in the solutioning process to ensure that the business solutions being implemented are thought through from a long term, standardization, design for no operations, front-end configuration perspective.
Assess and propose appropriate testing approach and sign off criteria to stakeholders and get concurrence.
Overall UAT management in terms of UAT timeline, batch run/ re-run and managing the tester’s testing result.
Prepare proper documentation on the data flow, design, business solutioning and testing approach in accordance with predefined template.""",JONDAVIDSON PTE. LTD.,"$4,500 - $9,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=c0914773fe5a8d90&advn=179800443906298
"Business Analyst
","Mandatory Skills
Overview :
As a Business Analyst work with end users to gather requirement, analyze and document it and follow Agile practices.
Responsibilitie s:
To Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Construct workflow charts and diagrams; studying system capabilities; writing specifications
Define project requirements by identifying project milestones, phases and elements
Collaborate well with users, development and test team to make sure delivery meets user requirement.
Requirements :
Minimum 3 years’ Financial industry experience especially in Equity trading business domain.
Well experienced in review, analyze and evaluate business requirements and user needs.
Well experienced in document requirements define scope and objectives and formulate systems
Well versed in Agile practices.
Ability to work independently and with others, extremely organized with strong time-management skills.
Basic knowledge in SQL to analyze data.",NEARSOURCE PTE. LTD.,"$6,000 - $7,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=ec18f387174ad4be&advn=179800443906298
"Business Analyst
","Mandatory Skills
Overview :
As a Business Analyst work with end users to gather requirement, analyze and document it and follow Agile practices.
Responsibilitie s:
To Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Construct workflow charts and diagrams; studying system capabilities; writing specifications
Define project requirements by identifying project milestones, phases and elements
Collaborate well with users, development and test team to make sure delivery meets user requirement.
Requirements :
Minimum 3 years’ Financial industry experience especially in Equity trading business domain.
Well experienced in review, analyze and evaluate business requirements and user needs.
Well experienced in document requirements define scope and objectives and formulate systems
Well versed in Agile practices.
Ability to work independently and with others, extremely organized with strong time-management skills.
Basic knowledge in SQL to analyze data.",TECHNOPALS PTE. LTD.,"$6,000 - $7,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=6e62d8c46d42dd79&advn=179800443906298
"Business Analyst
","Job Description:

Works collaboratively with clients and stakeholders - both external and internal to the company - to research and elicit, analyze, validate and document business requirements, and to ensure that those requirements clearly reflect true business needs, correctly representing all stakeholders. Translates business needs into system/ application requirements and project components to help determine solutions to business problems. Assists team members in producing functional requirements for tool development. Proactively identifies and manages changes to requirements and identify risks for the company’s clients. Effectively manages client’s expectations. Applies industry and information technology expertise to support proposals, feasibility studies, implementations and new business development.

Responsibilities:
Formulate and define system scope and objectives using knowledge of information technology and industry knowledge/ requirements.
Act as a liaison between client and technical solutions/ support groups, using strong communication skills to elicit, document, analyze and validate business processes, systems, and solution requirements.
Proactively research, identify, and specify solutions to problems.
Support and conduct visualization, user experience and configuration elements of solution design.
Document requirements specifications using high-maturity methods, processes and tools.
Support requirements management and change management processes.
Support aspects of the business cycle, including proposals, feasibility studies, and implementations.
Consider the business implications of the application of technology to the current business environment.
Develop and execute acceptance test plans and test cases
Education and Experience Required:

Typically a Bachelor's degree in a technical or business discipline or equivalent experience
Minimum of 2 years of related experience or a Master’s degree and up to two years of experience.
Knowledge and Skills
Good verbal and written communication skill and is comfortable fronting client
Ability to work effectively in a team
Essential: requirements determination using structured techniques for documentation, analysis, evaluation/ validation; decomposition of high- level information into details; abstracting low- level information; distinguishing requests vs needs; distinguishing requirements vs. solutions; classifying/ prioritizing requirements; requirements change management and traceability; identifying risks; applying creativity to solving complex problems; building relationships and working collaboratively; effective verbal/ written communication; experience in an industry domain.
Specialized: developing structured user manuals and training; business rules modeling; develop and executing acceptance test plans
Experience is Public Sector implementation is an advantage",YM GLOBAL TECHNOLOGIES PTE. LTD.,"$5,000 - $6,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=e4589f77d5e715f1&advn=179800443906298
"Business Analyst (Equity / Trading)
","Job Description
To Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
Construct workflow charts and diagrams; studying system capabilities; writing specifications
Define project requirements by identifying project milestones, phases and elements
Collaborate well with users, development and test team to make sure delivery meets user requirement.
Responsibilities
Minimum 3 years’ Financial industry experience especially in Equity trading business domain.
Well experienced in review, analyze and evaluate business requirements and user needs.
Well experienced in document requirements define scope and objectives and formulate systems
Well versed in Agile practices.
Ability to work independently and with others, extremely organized with strong time-management skills.
Basic knowledge in SQL to analyze data.
EA Number: 11C4879",APAR TECHNOLOGIES PTE. LTD.,"$6,000 - $7,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=0cb96c8f6e1a5982&advn=179800443906298
"Business Analyst (SQL/WaterScrum)
","Responsibilities:
Responsible for understanding business processes and identifying business requirements and translate into functional specifications
Assist in tracking and reporting of project progress, issues and risks to ensure deliverables are on track
Assist in supporting multiple applications systems and platforms
Adhere to company, project and support standards and guidelines
Respond to system queries, perform troubleshooting internally / with Vendor, and conduct research to identify solutions to reported issues
Identify issue trends and implement solutions or prevention methods for recurring issues to improve system stability

Key Requirements
0-2 years working experience in delivering and supporting IT applications
Good analytical, problem solving skills and attention to detail
Good written and verbal communication with emphasis in technical writing skills
Keen appreciation of business needs and good interest in business processes and process re-engineering
Experience with working with Kiosk/POS applications will be a plus


Charles, Lau Ngie Hao License No. 02C3423 Personnel Registration No. R1656741

Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by ManpowerGroup Singapore for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012. To learn more about ManpowerGroup's Global Privacy Policy, please visit https://www.manpower.com.sg/privacy-policy",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"$4,000 - $6,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=8590d0782e217a39&advn=179800443906298
