job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75419282,People Ops Partner (Data Analytics & Ops),We are looking for People Ops Partner (Data Analytics & Ops) to join us.,Assurity Trusted Solutions Pte Ltd,Central Region,Human Resources & Recruitment,Consulting & Generalist HR,Contract/Temp,,2024-04-26T00:53:28Z,11h ago,https://www.jobstreet.com.sg/job/75419282
75375824,"Manager, SIT Teaching and Learning Academy (Data Analytics)",-,Singapore Institute of Technology,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-24T04:02:19Z,2d ago,https://www.jobstreet.com.sg/job/75375824
75429435,Data Analyst,-,Private Advertiser,North-East Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-26T06:31:15Z,5h ago,https://www.jobstreet.com.sg/job/75429435
75368539,"Intern, Data Analytics, Disney+ - Jul to Dec 2024","The Data Analytics Intern supports the teams in all analytics functions behind all user growth initiatives and help monitor and optimize program, c...",The Walt Disney Company (APAC),Central Region,Marketing & Communications,Marketing Communications,Full time,,2024-04-23T12:12:00Z,2d ago,https://www.jobstreet.com.sg/job/75368539
75386609,"Senior/ Analyst, Data Science, Group Finance Analytics (Contract)","You will champion the development of new data science techniques, methodologies and delivery of analytics projects.",Singapore Health Services Pte Ltd (SingHealth HQ),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-24T09:25:01Z,2d ago,https://www.jobstreet.com.sg/job/75386609
75436146,CRO Data Analyst (Graduate Analyst),"The Data Analyst supports the CRO division with data analysis and technology expertise - in developing and maintaining reporting capabilities, buil...",SCB-JULIUS BAER (SINGAPORE) PTE. LTD.,Central Region,Banking & Financial Services,Analysis & Reporting,Contract/Temp,,2024-04-26T05:59:00Z,5h ago,https://www.jobstreet.com.sg/job/75436146
75367548,"Senior Data Analyst, O&T Quality Assurance - Innovation and Analytics (AVP/C12)","The O&T Quality Assurance (QA) in O&T’s COO function and is responsible to provide strong oversight, facilitate reviews and support Citi’s effectiv...",Citibank N.A.,Central Region,Information & Communication Technology,Testing & Quality Assurance,Full time,,2024-04-23T16:55:00Z,2d ago,https://www.jobstreet.com.sg/job/75367548
75321199,"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Marketing & Communications,Marketing Communications,Full time,,2024-04-22T07:53:08Z,4d ago,https://www.jobstreet.com.sg/job/75321199
75339613,"Manager, Group Care Plan Operations, Data Analytics & Insights(6318)",-,NUHS Group Ops & IT,Central Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-04-23T02:14:32Z,3d ago,https://www.jobstreet.com.sg/job/75339613
75380977,Lecturer/Diploma in Big Data & Analytics,"Lecturer in School of Informatics & IT (Diploma in Big Data & Analytics)
[What you will be working on]
• Conduct lessons and carry out all relevant...",Public Service Division,Central Region,Education & Training,Teaching - Tertiary,Full time,,2024-04-24T02:31:00Z,2d ago,https://www.jobstreet.com.sg/job/75380977
75407589,"Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS",We are looking for team members who will develop cutting-edge AI/machine learning methods and pipelines to integrate and interrogate gene expressio...,A*STAR Research Entities (A*STAR),Central Region,Science & Technology,Laboratory & Technical Services,Contract/Temp,,2024-04-25T06:21:00Z,1d ago,https://www.jobstreet.com.sg/job/75407589
75432817,Data Analyst (Petrochemicals | Oil & Gas | Data Models | SQL| Cloud Data),"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-26T08:34:27Z,3h ago,https://www.jobstreet.com.sg/job/75432817
75436078,Data Scientist - DBSG,"As a Data Scientist, you will analyse complex data to extract actionable insights that will inform company strategy and decision-making. You will b...",Hyperscal Solutions,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-26T06:01:00Z,5h ago,https://www.jobstreet.com.sg/job/75436078
75433755,Data Analyst  (Commodities Trading),Import data from various external and internal sources to bring meaningful insights into the business.,Talent Trader Group Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,"$5,000 – $7,000 per month",2024-04-26T09:08:07Z,2h ago,https://www.jobstreet.com.sg/job/75433755
75426925,Data Scientist,"* Major Foreign-Based Manufacturing Organisation in Singapore
* Key Data Role in Singapore
* Employee-Centric Environment",Hudson Global Resources ( HQ ),Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-26T05:12:49Z,6h ago,https://www.jobstreet.com.sg/job/75426925
75386522,"Principal Analyst, Group Finance Analytics","You will provide technical advisory to the analysts, establishing data analytics support.",Singapore Health Services Pte Ltd (SingHealth HQ),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24T09:24:02Z,2d ago,https://www.jobstreet.com.sg/job/75386522
75340009,Data Analyst,"Unleash insights as a Data Analyst! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23T02:26:32Z,3d ago,https://www.jobstreet.com.sg/job/75340009
75344816,Business Risk Specialist  Data Analytics & Sampling - Singapore,You'll be working in the Wealth Management Asia Pacific (WM APAC) Regional Business Risk Organization Control Framework Team. We support the WM APAC,Hays Specialist Recruitment Pte Ltd,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Contract/Temp,$5000.0 - $10000.0 p.m. + Attractive salary & care,2024-04-23T04:20:31Z,3d ago,https://www.jobstreet.com.sg/job/75344816
75302666,Information Technology - Senior Data Engineer (Analytics Engineering Track),"We have multiple senior data engineering positions available. The Data Analytics Engineer is responsible for designing and developing robust, scala...",Singapore Airlines,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-21T14:39:00Z,4d ago,https://www.jobstreet.com.sg/job/75302666
75414351,Data Analyst (Entry level),"Be able to spot patterns and trends in our data, generate insights and hypotheses, and propose solutions to address business or product problems.
B...",Carousell Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-25T16:19:00Z,19h ago,https://www.jobstreet.com.sg/job/75414351
75410701,Data Scientist - DBSG,"As a Data Scientist, you will analyse complex data to extract actionable insights that will inform company strategy and decision-making. You will b...",Beyondsoft International (Singapore) Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-25T09:44:00Z,1d ago,https://www.jobstreet.com.sg/job/75410701
75367936,Data Analyst,"4e Exchange, a leading financial derivatives trading platform, is seeking a Senior Data Analyst to join our team. As a global leader in the financi...",4e,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-23T13:13:00Z,2d ago,https://www.jobstreet.com.sg/job/75367936
75332524,Data Analyst,"Job Description: As a Data Analyst, you will play a crucial role in leveraging data to drive business insights and decision-making. Your primary re...",JCO ANALYTICS PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-22T14:15:00Z,3d ago,https://www.jobstreet.com.sg/job/75332524
75354759,Data Analyst (Phillip Nova),"Proficiency in data manipulation and analysis tools. Strong data visualization skills using tools such as Tableau, Power BI, or others.",Phillip Nova Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23T10:04:26Z,3d ago,https://www.jobstreet.com.sg/job/75354759
75355995,HR Dashboard & Analytics Executive | Up to $3500 | 6 months,-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Organisational Development,Contract/Temp,"$3,000 – $3,500 per month",2024-04-23T13:50:37Z,2d ago,https://www.jobstreet.com.sg/job/75355995
75383958,"Senior VP, Lead TDM, Platform Engineering, Data Analytics Technology",-,United Overseas Bank Limited (UOB),Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-04-24T07:57:28Z,2d ago,https://www.jobstreet.com.sg/job/75383958
