,Job_ID,url,Job_txt,company,job-title,level,location,posted-time-ago,nb_candidats,scraping_date,posted_date
0,3905981963,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3905981963,"Synthesis Junior Strategist Synthesis Singapore 17 hours ago Be among the first 25 applicants See who Synthesis has hired for this role Apply Join or sign in to find your next job Join to apply for the Synthesis Junior Strategist role at Synthesis Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Synthesis Junior Strategist at Synthesis . Email or phone Password Show Forgot password? Sign in Report this job Synthesis x Junior Strategist At Synthesis we push the boundaries of whatâ€™s possible with Open Data. Itâ€™s a fast-paced, rapidly-changing environment vibrant with collaboration and creativity, at the intersection of data science, cultural analysis & brand consultancy (we call this HCDS: Human Centred Data Science!). We are looking for people who are culturally curious and passionate about data storytelling. We work with famous brands including Netflix, The LEGO Group, Airbnb, PepsiCo, 2K Games,, Amazon Music, Nike, Pernod Ricard, Brown Forman and The Estee Lauder Company. Our team is nimble, diverse, and adaptable. Together we represent a variety of experiences â€“ from computer science, digital anthropology, engineering, advertising, to gaming and law. We will have a great working relationship if you... Are comfortable with open-ended challenges, a fair for working collaboratively and finding creative solutions Are innately curious, interested in macro, consumer, cultural and category shifts Have the drive to learn and innovate new technologies and methodologies Have strong written and communication skills Candidates with the right to work in Singapore without visa sponsorship will be prioritised. Sounds like you? Say hello ðŸ‘‹ https://form.typeform.com/to/s8Dmwbi0 Strategists at Synthesis develop strategies for brand positioning, innovations and marcomms for the sharpest insights and marketing professionals in the world. Your core focus: Storytell robust consumer insights and strategies, driven by quantitative data analysis in creative ways Be the culture expert, bringing a human perspective to numbers and statistics Support and lead client relationships, building trust with our partners by showing a strong interest in their business priorities and demonstrating a â€˜noseâ€™ for insights that are most useful and inspiring for them. Youâ€™ll need <3 year experience working in brand strategy or digital marketing role Curiosity and creativity in transforming data into memorable output and ability to present it confidently and persuasively to senior stakeholders. Criticality : stretching thinking by adding and expanding, not criticising without suggestions. Strong analytical skills : youâ€™ll be working closely with our data science team to input cultural and contextual knowledge as they optimise our algorithms and frameworks for new geographies and languages. Familiarity with digital research, social listening, qual and quant research Strong interpersonal skills : a flexible thinker who thrives in positive, collaborative environments, is able to work under pressure, and communicate effectively. Entrepreneurial mindset: constantly innovating ways to frame questions, source data, and build outputs to improve the overall Synthesis products and services. Advantageous, but not required: Fluency in a second language (native level) Familiarity working for FMCG, luxury, beauty, tech, media or gaming brands (agency/ client side) Knowledge of quantitative, statistical and qualitative research techniques and analysis Familiarity with programming languages and data visualisation tools: R, Java, Python, Tableau. Candidates with the right to work in Singapore without visa sponsorship will be prioritised. About Working Here We are a diverse team, we value creativity, â€˜plussingâ€™ mindset and collaboration. To help create this we offer flexible working and a supportive environment. This includes the following benefits: Twice yearly, uncapped, profit share bonus schemeâ€”so everyone is collectively rewarded for business success. 20 days paid holidays per annum + Public holidays + Whole company paid â€˜reading weekâ€™ between Christmas and New Year. 10:00-15:00 core working hours for meetings, otherwise flexible working. No meeting Friday, wherever possible, to secure Friday as a focus working day. Opportunity to work remotely for up to 4 weeks per calendar year. Performance Program to support continuous learning, including an annual conference or language learning budget, time allocated for learning and mentorship. AIA health insurance and the extra SGD $1000 per annum for health and wellbeing. 12 weeks paid maternity leave or 4 weeks paid paternity leave. Performance Program to support continuous learning, including an annual conference or learning budget, time allocated for learning and mentorship. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Business Development and Sales Industries Business Consulting and Services Referrals increase your chances of interviewing at Synthesis by 2x See who you know",Synthesis,Synthesis Junior Strategist,Mid-Senior level,Singapore,,,2024-04-26,
1,3908032662,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3908032662,"Machine Learning Specialist, Trilogy (Remote) - $60,000/year USD Crossover Singapore, Singapore 1 day ago Be among the first 25 applicants See who Crossover  has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Machine Learning Specialist, Trilogy (Remote) - $60,000/year USD at Crossover . Email or phone Password Show Forgot password? Sign in Report this job Crossover  provided pay range This range is provided by Crossover . Your actual pay will be based on your skills and experience — talk with your recruiter to learn more. Base pay range $30.00/hr - $30.00/hr Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you ready to dive headfirst into the AI revolution? Trilogy is presenting the launchpad for your tech career. This isn’t about getting a foot in the door; it’s about kicking that door down and charging through. We’re on the hunt for the bold, the relentless, the ones who dream in algorithms and thrive in a storm of innovation. Your journey with us starts with an unparalleled opportunity - to get paid while you transform into an AI maestro. From day one, you’ll plunge into intensive, hands-on AI training entirely funded by us. We’re not looking for know-it-alls; we’re searching for learn-it-alls. Curiosity, grit, and a relentless pursuit of excellence are what we value most. The tech world is cluttered with buzzwords, but at Trilogy, we’re all about authentic breakthroughs. Our mission is to revolutionize the B2B software landscape with AI-driven innovations that were once considered sci-fi. Picture this: a chatbot capable of tutoring any subject at university level or an AI plugin that amplifies customer support agents into heroes. That’s where we’re heading, and we want you on board. We're looking for the game-changers. The problem solvers. The hustlers ready to immerse themselves in AI and emerge as leaders. You don’t just adapt to change; you drive it. You’re not just looking for a job; you’re seeking a mission. If the idea of becoming an AI wizard while shaping the future of tech excites you, you might just be the trailblazer we’ve been searching for. What You Will Be Doing Rapidly advancing your AI expertise through specialized training and applying this knowledge to create autonomous, AI-driven platforms and tools Experimenting with state-of-the-art AI tools like GPT-4 Vision, Google Gemini, and Amazon CodeWhisperer, integrating them into our developmental process to enhance their utility Evaluating and optimizing AI solutions across various infrastructures, such as AWS What You Won’t Be Doing Traditional coding - our AI does the heavy lifting, freeing you to innovate and strategize Being stuck on repetitive tasks - no two problems are the same Machine Learning Specialist Key Responsibilities Architecting and deploying sophisticated, fully-automated AI systems that require no human intervention for a truly scalable impact Basic Requirements A passion for and basic understanding of generative AI, Large Language Models, Prompt Engineering, and the wider AI ecosystem Professional experience using AI to realize quantifiable business value Proficiency in Python About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application. Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again. Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well. Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked. If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-5245-SG-Singapor-MachineLearnin2 Show more Show less Seniority level Associate Employment type Full-time Job function Engineering, Information Technology, and Research Industries Software Development, IT Services and IT Consulting, and Technology, Information and Internet Referrals increase your chances of interviewing at Crossover  by 2x See who you know",Crossover ,"Machine Learning Specialist, Trilogy (Remote) - $60,000/year USD",Associate,"Singapore, Singapore",1 day ago,,2024-04-26,2024-04-25
2,3852453494,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3852453494,,,,,,,,2024-04-26,
3,3885132588,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3885132588,"Senior Data Scientist SixSense Singapore 2 weeks ago Over 200 applicants See who SixSense has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Senior Data Scientist at SixSense . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from SixSense Avni Agrawal Avni Agrawal Co-Founder at SixSense About SixSense: Founded by alumni from IIT and NIT, and funded by top investors in Asia, we at SixSense are building a no-code AI platform that allows users to effortlessly create computer vision models for image-based applications. Our primary focus is addressing the challenges faced by manufacturing companies in manually inspecting millions of images for defects. Therefore, we particularly enable manufacturing engineers to autonomously build and deploy CV models, monitor their performance, and maintain them seamlessly using our advanced software. As we compete in this fast-growing space, we at SixSense are building some of the most magical tools to change the way visual AI is created today! About the Role: We are seeking a talented Senior Data Scientist with expertise in Computer Vision to join our team. This role offers an exciting opportunity to work with customers, understand their problems, and create solutions that go beyond what they expect. As a Senior Data Scientist in Computer Vision, you will play an important role in making customer projects successful through the development and implementation of advanced computer vision solutions. You will work closely with different teams to understand customer requirements, design solutions, and use deep learning to solve high-impact business problems. Responsibilities: ● Lead POCs and full-scale deployments for enterprise customers ● Collaborate with customers to understand their business objectives and translate requirements into actionable project plans. ● Design, develop, and deploy innovative computer vision solutions tailored to meet customer needs. ● Utilise machine learning techniques to analyse and interpret visual data, extracting meaningful insights and patterns. ● Evaluate and select appropriate frameworks, tools, and technologies to support model development and deployment. ● Lead end-to-end project execution, from data collection and preprocessing to model training, evaluation, and deployment. ● Work closely with cross-functional teams to integrate computer vision solutions into existing systems and workflows. ● Provide technical expertise, guidance, and support to internal and external stakeholders throughout the project lifecycle. ● Stay abreast of the latest advancements in computer vision, machine learning, and related fields, applying new techniques and methodologies to solve customer challenges. ● Design AI explainability tools for monitoring and performance improvement of AI models ● Publish technical papers and present work at computer vision and Industry 4.0 conferences if required. Key skills that will help: ● Advanced degree in Computer Science, Artificial Intelligence, or related field ● 5+ years of experience leading AI teams and working on AI projects ● Proven track record of successfully delivering complex projects in a customer-facing role. ● Strong background in deep learning, computer vision, machine learning, MLops, cloud platforms and applied research in the field. ● Experience with deep learning research and development, especially in image classification, object detection, segmentation, Autoencoders, GANs etc ● Experience with popular AI frameworks such as TensorFlow, PyTorch, and others ● Strong leadership and communication skills ● Experience with cloud platforms like AWS, GCP, or Azure is a plus ● Publication record in conferences such as CVPR, NIPS, ICML, ICIP, or similar is a plus. Your goals matter to us! ● We offer a competitive salary and benefits package, as well as opportunities for professional growth and development. ● You will have high ownership in product development and can see the direct impact of your contribution on customers. ● Participate in discussions for creativity, expansion and scale of the product Join our team and help shape the future of AI! Perks: ● We take care of you with insurance that includes Hospital/Surgical, Major Medical, Outpatient General Practitioner & Specialist ● Annual credits for recreation, health and fitness, educational courses etc. ● Access to a huge network of technology start-ups, meetups, & conferences ● Party hard with us over board games, movie nights and weekend getaways . Know more about us: You can learn more about the everyday life at SixSense and the interesting turn of events in the life of a fast-moving startup on our LinkedIn page - https://www.linkedin.com/company/sixsense-pte-ltd/ Read more about how SixSense AI has transformed smart manufacturing in Singapore @ https://ssia.org.sg/smart-manufacturing-at-global foundries-Singapore-with-six sense/ Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Engineering and Information Technology Industries Automation Machinery Manufacturing Referrals increase your chances of interviewing at SixSense by 2x See who you know",SixSense,Senior Data Scientist,Mid-Senior level,Singapore,2 weeks ago,,2024-04-26,2024-04-12
4,3902078150,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3902078150,,,,,,,,2024-04-26,
5,3838661122,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3838661122,"Internship - Data Scientist Infineon Technologies Singapore 1 month ago Over 200 applicants See who Infineon Technologies has hired for this role Apply Join or sign in to find your next job Join to apply for the Internship - Data Scientist role at Infineon Technologies Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Internship - Data Scientist at Infineon Technologies . Email or phone Password Show Forgot password? Sign in Report this job The student, as part of the Digital and Innovation Hub team under the Global Finance Services organization, and under the guidance of an assigned mentor, will undertake projects working on data analytics, process mining and automation solutions for finance. In your new role you will be involved in: Data collection and pre-processing Data Analysis and Modelling Data Visualization and Reporting Feature Engineering - collaborate with domain experts to enhance model inputs Model Evaluation and Optimization Data Deployment and Integration Continuous Learning and Innovation Internship learning outcomes: Identify and formulate scientific questions and issues that are relevant to the specific problem statement To apply, or develop and implement, appropriate analytic tools and techniques to resolve data scientific problems using appropriately curated data To communicate findings and insights gained clearly To cultivate practice of independent and peer learning Data Deployment and Integration You are best equipped for this task if you are/have: Undergraduate of Bachelor's Degree in Mathematics / Computer Science / Natural Science / Engineering / Statistics Understanding of databases such as SQL Server, Oracle and SAP Understanding of reporting & data visualization tools such as Tableau and PowerBi Good working knowledge with major programming languages such as Python or C programming Inquisitive and is a self-driven learner Driving decarbonization and digitalization. Together. Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software. We are on a journey to create the best Infineon for everyone. This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills. Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process. Click here for more information about Diversity & Inclusion at Infineon. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing Referrals increase your chances of interviewing at Infineon Technologies by 2x See who you know",Infineon Technologies,Internship - Data Scientist,Entry level,Singapore,1 month ago,,2024-04-26,2024-03-27
6,3855210957,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3855210957,"Data Scientist intern Tencent Singapore, Singapore 1 month ago 78 applicants See who Tencent has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Scientist intern role at Tencent Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Scientist intern at Tencent . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities: Analyse behavioural trends to identify malicious activities and detect anomalies in the WeChat ecosystem via data analysis and machine learning - Devise appropriate strategies to track fraudulent accounts and protect users from spam or fraudulent activity - Deploy and maintain machine learned models to help detect malicious accounts - Identify business problems through data analytics and devise appropriate solutions - Build user profiling analytics to better help categorize WeChat users and assess their account's safety, engagement, and other user needs - Build and design data dashboards to monitor key metrics and provide other product insights - Support the Product Team in designing better user flows in order to improve WeChat's user experience - Collaborate with the Legal Team to align data operations to be compliant with relevant data privacy and other best practices Requirements: Must be currently enrolled in an undergraduate or graduate degree program in Computer Science, Data Science, Mathematics, Economics, or Statistics or similar quantitative field - Ability to communicate complex ideas to non-technical stakeholders in a way they can easily understand and appreciate. - Experience on building machine learning or deep learning solutions is preferred - Good knowledge of Python programming language, C/C++/Go programming language is preferred - Self-driven, innovative, collaborative, with good communication and presentation skills, able to translate between business and technical audiences - Have no more than 1.5 school years remaining at the time of entry into their internship - Must be able to provide full-time internship employment (Mon-Fri) for a period no shorter than three months, or part-time internship employment (minimum 5 days/week) for a period no shorter than five months - Prior internet industry work or internship experience preferred - Fluency in both English and Mandarin to deal with international stakeholders and stakeholders who are based in HQ Show more Show less Seniority level Internship Employment type Full-time Job function Research, Information Technology, and Engineering Industries Software Development Referrals increase your chances of interviewing at Tencent by 2x See who you know",Tencent,Data Scientist intern,Internship,"Singapore, Singapore",1 month ago,78.0,2024-04-26,2024-03-27
7,3876060212,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3876060212,"Junior Data Scientist Maybank Singapore, Singapore 3 weeks ago Over 200 applicants See who Maybank has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Junior Data Scientist at Maybank . Email or phone Password Show Forgot password? Sign in Report this job Junior Data Scientist(JDS) is responsible for supporting Data Science team between business requirements and expectations as shared by business, risk and credit teams. The job is facilitate the interpretation of complex data science findings, ensure alignment with business goals, and contribute to the implementation of data-driven strategies. Responsibilities Understanding the context of problem statement and Consulting relevant business teams for clarifications where required. Work closely with data scientists to understand and prepare data for analysis. Data Exploration and Analysis on datasets to identify patterns, insights and trends that inform modelling decision. Assist in the evaluation of machine learning models, providing insights into model performance and limitations. Collaborate with data scientists to interpret complex model outputs in a business context. Communication, including the documenting of discussions and relevant processes or progress in development, as well as explainability of model(s) developed. Create visually compelling dashboards and reports to communicate data science findings to non-technical stakeholders. Involve in planning, execution and deployment of MLM activity Translate Machine learning model(MLM) requirement to technical specifications Communicate project requirement and deliverables to internal stakeholders Liaise with Vendor on business requirements and project timeline Document and maintain comprehensive documentation of data sources, methodologies, and analysis results. Work collaboratively with cross-functional teams, including data scientists, business analysts, and IT professionals. Act as a bridge between technical and non-technical stakeholders to ensure effective communication Qualifications Degree/ Experience in related field (i.e Business, Statistical, Computer Science, Engineering, Banking etc) Proven experience as a Data Analyst or Business Analyst, with exposure to supporting data science initiatives.. Strong analytical and problem-solving skills, with the ability to translate business needs into actionable data requirements. Proficiency in data analysis tools and languages (e.g., SQL, Python, R). Experience with data visualization tools (e.g., Tableau, Power BI) is a plus. Strong analytical skills, statistical and banking knowledge, and the ability to work independently as well as part of a team. Possess good communication skills Ability to work in a fast-paced environment and adapt to changing priorities. Show more Show less Seniority level Executive Employment type Full-time Job function Analyst Industries Banking Referrals increase your chances of interviewing at Maybank by 2x See who you know",Maybank,Junior Data Scientist,Executive,"Singapore, Singapore",3 weeks ago,,2024-04-26,2024-04-05
8,3899676102,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3899676102,"Internship – Product Engineering: Data Scientist Infineon Technologies Singapore 1 week ago 48 applicants See who Infineon Technologies has hired for this role Apply Join or sign in to find your next job Join to apply for the Internship – Product Engineering: Data Scientist role at Infineon Technologies Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Internship – Product Engineering: Data Scientist at Infineon Technologies . Email or phone Password Show Forgot password? Sign in Report this job The student, as part of the Product Engineering team, will be involved in development, optimization and maintenance of automation projects, related to big data & machine learning, to enhance product engineering capabilities. In your new role you will: Learn from existing data analysis platforms/tools and AI/ML applications Explore methods to scale, optimize and maintain the automation solutions Design and develop Tableau visualization solutions to support Product Engineering analysis Evaluate patterns and meaning insights from data through qualitative and quantitative analysis Internship learning outcomes: Gain insights into Automotive Semiconductor Test and Product Engineering Hands-on experience on transforming real-world multi-dimensional data into meaningful output Develop communication and presentation skill You are best equipped for this task if you are/have: On track to attain a Bachelor in Computer Science, Software Engineering, Electronic Engineering or relevant fields of study Skillful in Python, SQL, Tableau or relevant coding languages Good knowledge in big data analytics, AI/ML application Highly motivated, structured and methodical with high-degree of self-initiative and independent learning Driving decarbonization and digitalization. Together. Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software. We are on a journey to create the best Infineon for everyone. This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills. Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process. Click here for more information about Diversity & Inclusion at Infineon. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing Referrals increase your chances of interviewing at Infineon Technologies by 2x See who you know",Infineon Technologies,Internship – Product Engineering: Data Scientist,Entry level,Singapore,1 week ago,48.0,2024-04-26,2024-04-19
9,3745188988,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3745188988,"Intern - Data Scientist Micron Technology Singapore, Singapore 1 month ago Over 200 applicants See who Micron Technology has hired for this role Apply Join or sign in to find your next job Join to apply for the Intern - Data Scientist role at Micron Technology Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Intern - Data Scientist at Micron Technology . Email or phone Password Show Forgot password? Sign in Report this job Our vision is to transform how the world uses information to enrich life for all. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing. JR42541 Intern - Data Scientist Project Title: Package Design Based Yield Prediction Description: Aim of the project : We are looking for Data Scientist interns who will work with the team to develop algorithms package to deliver data-analytical services for package design-based yield prediction Scope: Build machine learning models to classify and score package performance. Tasked on real-life projects and responsibilities from Day 1 – understand business objectives and generate impactful insights by investigating datasets of build of information, manufacturing yield, process information, etc. Build, validate, test and deploy machine learning or other data science models into our IT platforms. Continuously review and improve the performance on both quality and efficiency and bring timely feedback of the issues and optimization opportunities identified. Deliverable: Build model for package design-based yield prediction. Skillset Require: Excellent understanding of general machine learning techniques and popular models (linear regression, SVM, XGBoost/LightGBM, etc.), and basic deep-learning models. Experience with development tools like Python, NumPy/Pandas, Scikit-learn and one deep-learning framework (Tensorflow / Keras / PyTorch). Experience with data exploration tool and data visualization tool, such as matplotlib, Echarts, etc. Better with experience with SQL/NoSQL databases. Excellent written and verbal communication skills for coordinating across teams. Possess strong thinking/problem-solving skills which can be applied to business processes with a ""can-do"" attitude. About Micron Technology, Inc. We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all . With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience. To learn more, please visit micron.com/careers All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_sg@micron.com Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards. Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron. Show more Show less Seniority level Internship Employment type Full-time Job function Other Industries Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing Referrals increase your chances of interviewing at Micron Technology by 2x See who you know",Micron Technology,Intern - Data Scientist,Internship,"Singapore, Singapore",1 month ago,,2024-04-26,2024-03-27
