,Job_ID,url,Job_txt,company,job-title,level,location,posted-time-ago,nb_candidats,scraping_date,posted_date
0,3900988093,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3900988093,"Data Engineer Avensys Consulting Singapore, Singapore 1 week ago Over 200 applicants See who Avensys Consulting has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineer at Avensys Consulting . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Avensys Consulting Vasuki Madhusudhan Kumar Vasuki Madhusudhan Kumar Talent Acquisition Specialist - APAC region About Avensys: Avensys is a reputed global IT professional services company headquartered in Singapore. Our service spectrum includes enterprise solution consulting, business intelligence, business process automation and managed services. Given our decade of success we have evolved to become one of the top trusted providers in Singapore and service a client base across banking and financial services, insurance, information technology, healthcare, retail and supply chain. We are currently looking to hire a “Data Engineer”. This is an exciting opportunity to expand your skill set, achieve job satisfaction and work-life balance. More details as below. Type of Employment: 1 year contract under Avensys payroll Job Location: Marina Boulevard Financial Centre, Singapore Responsibilities: • Data Pipeline Development: Develop and maintain data pipelines that extract, transform, and load (ETL) data from various sources into a centralized data storage system, such as a data warehouse or data lake. • Data Integration: Integrate data from multiple sources and systems, including databases, APIs, log files, streaming platforms, and external data providers. • Data Transformation and Processing: Develop data transformation routines to clean, normalize, and aggregate data. Apply data processing techniques to handle complex data structures, handle missing or inconsistent data, and prepare the data for analysis, reporting, or machine learning tasks. • Contribute to common frameworks and best practices in code development, deployment, and automation/orchestration of data pipelines. • Implement data governance in line with company standards. • Partner with Data Analytics and Product leaders to design best practices and standards for developing and productionalising analytic pipelines. • Partner with Infrastructure leaders on architecture approaches to advance the data and analytics platform, including exploring new tools and techniques that leverage the cloud environment (Azure, Databricks, others). • Monitoring and Support: Monitor data pipelines and data systems to detect and resolve issues promptly. Develop monitoring tools, alerts, and automated error handling mechanisms to ensure data integrity and system reliability. Requirements: Must haves • Proven experience as a Data Engineering role (3 years +), with a strong track record of delivering scalable data pipelines. • Extensive experience designing data solutions including data modelling is required. • Extensive hands-on experience developing data processing jobs (PySpark / SQL) that demonstrate a strong understanding of software engineering principles is needed. • Experience orchestrating data pipelines using technology like ADF, Airflow etc is necessary. • Experience working with both real-time and batch data is important. • Experience building data pipelines on Azure is crucial. AWS data pipelines will be beneficial. • Fluency in SQL (any flavour), with experience using Window functions and more advanced features is required. • Understanding of DevOps tools, Git workflow and building CI/CD pipelines is essential. Nice to Have • Domain knowledge of commodities, covering Sales, Trading, Risk, Supply Chain, Customer Interaction, etc. is highly desirable. • Familiarity with Scrum methodology and experience working in a Scrum team can be advantageous. This includes understanding of Scrum roles, events, artifacts, and rules, and the ability to apply them in a practical context. • Experience with streaming data processing technologies such as Apache Kafka, Apache Flink, or AWS Kinesis can be beneficial. This includes the ability to design and implement real-time data processing pipelines. Qualification: Bachelors or higher degree preferably in business or Computer Science IT WHAT’S ON OFFER You will be remunerated with an excellent base salary and entitled to attractive company benefits. Additionally, you will get the opportunity to enjoy a fun and collaborative work environment, alongside a strong career progression To submit your application, please apply online or email your UPDATED CV in Microsoft Word format to vasuki@aven-sys.com. Your interest will be treated with strict confidentiality. CONSULTANT DETAILS Consultant Name: Vasuki Kumar Avensys Consulting Pte Ltd EA License 12C5759 Privacy Statement: Data collected will be used for recruitment purposes only. Personal data provided will be used strictly in accordance with the relevant data protection law and Avensys' personal information and privacy policy. …………………………………………………………………………… Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Information Technology Industries Information Services, Software Development, and IT Services and IT Consulting Referrals increase your chances of interviewing at Avensys Consulting by 2x See who you know",Avensys Consulting,Data Engineer,Mid-Senior level,"Singapore, Singapore",1 week ago,,2024-04-26,2024-04-19
1,3908056836,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3908056836,"Data Engineer Astek Singapore, Singapore 2 days ago 184 applicants See who Astek has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineer at Astek . Email or phone Password Show Forgot password? Sign in Report this job Astek is proposing an opportunity for Mid level Data Engineer to support our Project based in Singapore. Job Description: Responsible for administering, supporting, monitoring, and tuning the Power BI reporting environment; This involves the management and administration of all components of the Power BI domain, including Power BI on-premises data gateway servers. Design and develop PowerBI dashboards and reports. Develop scalable data pipelines using Data connectors, distributed processing transformations, schedulers, and data warehouse. Troubleshoot and debug issues in production environments. Primarily focus on product evaluation, proof of concept (POC), and deployment in an enterprise-wide scope. Design, develop and maintain efficient and accurate ETL pipelines. Requirements Analysis - evaluate and analyse business requirements gathered to gain a clear understanding of the specification and reason for the request. Combine data from multiple sources into efficient Power BI datasets for use by departmental Data Analysts. Evaluate new data visualization products and tools for enterprise use. Collaborate with cross-functional teams to ensure successful project delivery. Provide application support for data-related issues. Requirements: 5-8 years of experience in a Data Engineer role with strong experience in enterprise data visualization tools, specifically PowerBI . Experience in application support, good communication, and programming skills with experience in coding on scripts. Strong experience in Python. Expertise in Data warehousing/ information Management/ Data Integration/Business Intelligence using ETL tool Informatica PowerCenter. Proficient in Tableau Proficient in Informatica. Ability to work independently and in a team environment. Strong project management and organizational skills. Strong communication skill, both written and verbal. Experience supporting and working with cross-functional teams in a dynamic environment. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Technology, Information and Media Referrals increase your chances of interviewing at Astek by 2x See who you know",Astek,Data Engineer,Mid-Senior level,"Singapore, Singapore",2 days ago,184.0,2024-04-26,2024-04-24
2,3884004702,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3884004702,"Data Engineer Intern - 6 months Gunvor Group Ltd Singapore 2 weeks ago 88 applicants See who Gunvor Group Ltd has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer Intern - 6 months role at Gunvor Group Ltd Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer Intern - 6 months at Gunvor Group Ltd . Email or phone Password Show Forgot password? Sign in Report this job Job Title: Data Engineer Intern - 6 months Contract Type: Internship Contract Time Type: Full time Job Description: Summary Of Company Gunvor Group is one of the world’s largest independent commodities trading houses by turnover, creating logistics solutions that safely and efficiently move physical energy from where it is sourced and stored to where it is demanded most. With strategic investments in industrial infrastructure—refineries, pipelines, storage, and terminals—Gunvor further generates sustainable value across the global supply chain for its customers. Gunvor, founded in 2000, generated US $135 billion in revenues on volumes of 240 million MT in 2021. The company remains on track to meet its goal of cutting Scope 1 and 2 emissions 40% by 2025. Gunvor has more than 1,500 employees and it maintains offices in Singapore, Amsterdam, Beijing, Dubai, Geneva, Houston, London, Shanghai, and Tallinn with new offices planned in strategically relevant markets. Overview Of Role The person will join the Data Engineering Team in Singapore and will learn and gain insights on how raw data is being processed into something useful and valuable for the purpose of trades and analysis. This includes creating data pipelines and workflows to ensure a seamless flow of data between different systems and applications. This is an exciting opportunity for students with keen interest in IT cum Trading in knowing how IT can benefits Trading Industry and will expose the candidate to the most important substance of trading - data. The candidate will focus on supporting Data Engineers to build market data price curves and validate the accuracy of data from multiple sources such as Bloomberg, ICE, multiple exchanges and etc. Main Responsibilities Build and analyze market data curves coming from multiple sources. Build and support Power BI reports for traders and analysts. Performing daily data monitoring and ensure data pipelines are generating correct data. Enhance or create Excel user Interfaced tools to capture data calculated by the research team. Works with Azure databases and SQL queries – MSSQL, Snowflake, Azure Data Factory Perform UAT for data integration projects with the data providers. Validate data and queries running directly from the database – Identify and flag out issues spotted. Proactively implement market best practice in data pipelines and handling. Profile The individual should have the following experience but not mandatory: Proficiency in Python is a plus. Basic SQL or Snowflake knowledge is required. Experience with market data – time series, forward, options and margins. Knowledge of financial markets and financial derivatives would be a plus. Excellent verbal and written communication skills in English Inquisitive and meticulous with strong analytical and computational skills ** Self-motivated and able to work independently and as a team player Able to take charge of responsibility assigned. Applicants need to commit to the standard 5 days work week throughout the entire 6 months internship period. Applicants who are unable to meet or commit to this requirement will be deprioritized during the screening process. If you think the open position you see is right for you, we encourage you to apply! Our people make all the difference in our success. Show more Show less Seniority level Internship Employment type Full-time Job function Information Technology Industries Oil and Gas Referrals increase your chances of interviewing at Gunvor Group Ltd by 2x See who you know",Gunvor Group Ltd,Data Engineer Intern - 6 months,Internship,Singapore,2 weeks ago,88.0,2024-04-26,2024-04-12
3,3809562317,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3809562317,,,,,,,,2024-04-26,
4,3630973204,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3630973204,"Data Engineer JAC Recruitment Singapore, Singapore 1 month ago Over 200 applicants See who JAC Recruitment has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer role at JAC Recruitment Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer at JAC Recruitment . Email or phone Password Show Forgot password? Sign in Report this job As Data Engineer, you will be responsible for database SQL performance tuning and data optimization for applications. You are also passionate about learning and building the latest technologies of distributed big data platform. Responsibilities: Translate business requirements into technical specifications, including data streams, integrations, transformations, databases, data warehouses, and big data Define the data architecture framework, standards, and principles, including modeling, metadata, and security Collaborate and coordinate with multiple departments, stakeholders, partners, and external vendors Examine and identify data structural necessities by evaluating applications and programming Assess data implementation procedures to ensure their compliance with internal and external regulations Prepare accurate database design and architecture reports for management and executive teams Requirements: Bachelor's Degree in Computer Science, Information Technology or relevant disciplines Min. 2 years of experience in data warehouse ETL data technologies Experience in designing and implementing ETL data pipeline Experience with any database SQL-based technologies (e.g. MySQL/ Oracle/ Tibero) Hands-on of database architectures, database design, Application SQL tuning and optimization Good knowledge with distributed data platforms such as Hadoop, HDFS, Hive, Spark is an added advantage To Apply Please apply online. Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding. Mehak Ankar ( R22104876) JAC Recruitment Pte Ltd (EA Lic No: 90C3026) #countrysingapore Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Staffing and Recruiting Referrals increase your chances of interviewing at JAC Recruitment by 2x See who you know",JAC Recruitment,Data Engineer,Entry level,"Singapore, Singapore",1 month ago,,2024-04-26,2024-03-27
5,3888556806,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3888556806,"Intern, Data Engineer Grab Singapore, Singapore 2 weeks ago Over 200 applicants See who Grab has hired for this role Apply Join or sign in to find your next job Join to apply for the Intern, Data Engineer role at Grab Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Intern, Data Engineer at Grab . Email or phone Password Show Forgot password? Sign in Report this job Job Description Life at Grab At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia. Get to know the Team The People Data Warehouse (PDW) team provides the data foundations used for real-world problem solving in pursuit of a high performing people culture at Grab. The work you do in the PDW team will have an amplifying impact on Grab as it improves thousands of Grabbers who work together to unlock the potential of Grab to drive hundreds of millions to economic empowerment and prosperity. To build this data foundation, we extract and integrate a large variety of data sources and provide a secure, scalable, reliable and efficient platform for processing this data for insights. In spite of being a small team we manage the full life cycle of this data platform which includes requirement gathering and negotiations with data source providers, writing pipelines that ingest the data from source APIs, loading the data into a data warehouse followed by transforming that data. In addition, We also support integrations from various tools that are used by our downstream users who use PDW data for use cases such as business intelligence, analytics and machine learning. Finally, we also manage all of the operations including the infrastructure layer. Currently we maintain our data platform in Azure and as part of a consolidation effort, we are looking to migrate to AWS. Get to know the Role Are you passionate about data and looking for an opportunity to contribute to a high-impact project? We are seeking an Intern to join our team and be a part of an exciting endeavor to migrate a data platform built in Azure to AWS. This internship offers the opportunity to gain in depth practical experience in key data platform technologies in the two most popular cloud environments. The Day-to-Day Activities Write Python/Javascript & SQL code either as components in the ETL framework or as supporting scripts. Collaborate with the project team to understand the existing data warehouse built in Azure Synapse. Assist in designing a migration plan and roadmap for moving the data warehouse to AWS Redshift. Perform data extraction, transformation, and loading (ETL) activities as part of the migration process. Ensure data integrity and quality throughout the migration process. Work closely with the team to troubleshoot any issues and propose effective solutions. Coordinate with stakeholders to understand their requirements and translate them into data migration tasks. Support the team in documenting the migration process, including migration steps, dependencies, and data mappings. Learning Objectives Skills This is an extremely unique opportunity for an aspiring data engineer! Apply now to build your skills across two data & cloud platforms in one shot! As part of the internship you’ll expand your knowledge in following areas: Various components of a modern data platform Data Warehousing with Azure Synapse Data warehousing with AWS Redshift Azure Data Factory & Airflow Data quality Activities required to govern and operate a data platform CI/CD and DevOps practices Azure AWS Implementing Layered and Microkernel architectures. Web applications and APIs Automating periodic activities using scheduled tasks Implementing workflows using web applications The Must-Haves Undergraduate in Software Engineering, Computer Science. We are also happy to hire students from other quantitative fields who are passionate about programming & and have built some cool software applications in the past. Proficiency in Python or Javascript. Familiarity with AWS or Azure Proficiency in SQL. (Go through this tutorial : https://mode.com/sql-tutorial/introduction-to-sql/ if you need to pick this up before interview, once you are familiar with concepts in Advanced Skill tutorial you are good) Some Familiarity with Terraform could be awesome! (if you don’t have this skill, spend a couple of hours to get some basic understanding before the interview) Our Commitment We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique. Show more Show less Seniority level Internship Employment type Full-time Job function Engineering Industries Technology, Information and Internet Referrals increase your chances of interviewing at Grab by 2x See who you know",Grab,"Intern, Data Engineer",Internship,"Singapore, Singapore",2 weeks ago,,2024-04-26,2024-04-12
6,3879356294,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3879356294,"Internship - Data Engineer Infineon Technologies Singapore 3 weeks ago 111 applicants See who Infineon Technologies has hired for this role Apply Join or sign in to find your next job Join to apply for the Internship - Data Engineer role at Infineon Technologies Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Internship - Data Engineer at Infineon Technologies . Email or phone Password Show Forgot password? Sign in Report this job The student, under the guidance of an assigned mentor will be supporting the IT FSC department in areas of data analytics, modelling, machine learning and improving databases. In your new role you will: Active participation in data analytics process, including business understanding, data understanding, modelling and visualization Identify data sources and automate ETL Process Feature engineering and analyzing large, complex and multi-dimension database Improve existing machine learning model and databases. Implement, document and present the solution. You are best equipped for this task if you have: On track to attain Bachelors / Masters / PhD in Computer Science / Data Analytics in the field of AI / ML /Data Science Good understanding of computational complexity, data structures, programming languages, design patterns and software architectures. Ability to code in Python and SQL. Keenness to learn and to collaborate effectively within a team Driving decarbonization and digitalization. Together. Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software. We are on a journey to create the best Infineon for everyone. This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills. Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process. Click here for more information about Diversity & Inclusion at Infineon. Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing Referrals increase your chances of interviewing at Infineon Technologies by 2x See who you know",Infineon Technologies,Internship - Data Engineer,Entry level,Singapore,3 weeks ago,111.0,2024-04-26,2024-04-05
7,3883819689,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3883819689,"Machine Learning Engineer Intern - Summer '24 Datature Singapore, Singapore 3 weeks ago Over 200 applicants See who Datature has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Machine Learning Engineer Intern - Summer '24 at Datature . Email or phone Password Show Forgot password? Sign in Report this job 👉 Full-Time Internship - Minimum 3-6 Months - Summer '24 Cohort - Read the Post At Datature, we are building a platform for training and deploying machine learning models swiftly without a single line of code. Datature Nexus is an MLOps platform that allows users to label unstructured data and construct complex machine learning pipelines all in their browsers using highly visual editors. Datature's users have leveraged our platform to solve problems in a myriad of verticals - from grading crops to optimizing manufacturing to MLB Teams, to identifying diseases from MRI scans. Datature levels the playing field for teams and companies in antiquated industries to start AI-driven revolutions of their own. The Scope Datature's platform features a drag-and-drop visual editor that translates to thousands of lines of TensorFlow codes in the backend. This requires a handful of services to work together seamlessly. You will develop components to solve real-time problems with machine learning, data ingestion, and computer vision. You will be working on problems at the intersection of large data transfers, object detection, transfer learning, and active learning. About You Some experience using TensorFlow (Not Keras), PyTorch, or JAX Fluent in Python and at least one system programming language (C, C++, Rust) Interest in Computer Vision, Deep Neural Networks, and Scene Understanding Algorithms Exposure to working with Relational and No-SQL Databases Some knowledge of Google Cloud Platform and Linux/Bash Knowledge in Transfer Learning Mechanisms, Hyperparameter Tuning (Optuna, Hyperopt), and Object Detection Exposure to building your Instance Segmentation / Object Detection Models Coursework and proficiency in Linear Algebra , Computer Vision, or Computational Geometry An ability to explain what Gradient Taping is <3 Minimum Requirements You don’t need a Computer Science degree to write great software. We are looking for hackers and enthusiasts who have participated in hackathons / competitive programming / open-source development. Your coding projects outside of school curriculums matter more than your grades - we'd love to discuss your most passionate projects rather than a list of curriculum-mandated projects. Who We Are Looking For 📍 You are a reliability-minded engineer passionate about uptime and data integrity. You have experience scaling both teams and projects in similar spaces. Above all, you are passionate about data, machine learning, and user experience. You understand the tradeoffs with each line of code and have an idea of what the various priorities are with each project. Why You'll Love Us 🎈 We are a technology-first team dedicated to developing the most intuitive and performant platform to shape the way users think about building machine learning capabilities. We are a quirky group of engineers whom you will enjoy debating about codes and algorithms with. Gone are the days when you have to build yet another internal monitoring tool for a team that doesn't appreciate the performance. You will be solving the most important problems at the intersection of machine learning, data processing, and distributed systems. You will have the largest impact on how our users interact with the Datature platform via API and the experience they have whilst doing so - and you care about the P95 Perf. If this is your cup of tea, we have been waiting to hear from you. Show more Show less Seniority level Internship Employment type Internship Job function Engineering and Information Technology Industries Software Development and Research Services Referrals increase your chances of interviewing at Datature by 2x See who you know",Datature,Machine Learning Engineer Intern - Summer '24,Internship,"Singapore, Singapore",3 weeks ago,,2024-04-26,2024-04-05
8,3909568923,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3909568923,"Data Engineer Luxoft Singapore, Singapore 1 day ago 59 applicants See who Luxoft has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineer at Luxoft . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Luxoft Shreya Tripathi Shreya Tripathi Project description Luxoft looking for an experienced and motivated Data Engineers who will be based in Singapore office. The role will work closely with the account management, the services team and collaborate with the product teams. He / she will join a team of experienced consultants and participate in the implementation and support of the application, the installation of new modules and features, and oversee the installation, configuration and, workflow definition and optimization using NeoXam cutting edge data management platform, DataHub. Responsibilities Accountable for high-impacting and challenging implementation projects, and acquire a global vision of the business processes at the world's top financial firms Provide best practice guidance to clients by leveraging technical expertise, NeoXam DataHub software knowledge and industry experience Design, configure, implement of NeoXam's DataHub software solutions based on client requirements ▪ Manage the overall design and configuration activity by ensuring the team follows configuration / scripting / design guidelines. Identify and resolve any installation and implementation problems to the client's satisfaction within established time frames Analyze the clients' needs, accompany and coach their teams and/or take charge of the product implementation, meet clients' requests, manage the client relation and coordination of the project. Provide project management leadership under the responsibility of the Account Manager or Project Director Develop and conduct product training workshops for clients Provide presales consultancy by assisting the sales teams with presentations, Proof of Concept, implementation expertise, etc. Skills Must have Engineering or Business school, Master's degree or equivalent Up to 7-8 years of experience in data engineering / data modelling space Banking / Capital Markets domain experience is mandatory Hands-on coding experience in scripting language like Shell, Bash, Python, VB , Java Script. Candidate should be able to adapt to new programming language(s). Previous project experience with involvement in multiple stages of the project life cycle Independent, with own initiative and good interpersonal skills and are concerned about the quality of service provided Proactive and a real team player Excellent communication skills (verbal and written) Nice to have Experience with RDBMS, Data Modeling, and SQL language Understanding of Enterprise Data Management and ETL techniques and processes Previous experience of financial data provider feeds such as Bloomberg, Refinitiv, ICE and others Knowledge of financial instruments such as Equities, Fixed Income and Derivatives Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries IT Services and IT Consulting Referrals increase your chances of interviewing at Luxoft by 2x See who you know",Luxoft,Data Engineer,Mid-Senior level,"Singapore, Singapore",1 day ago,59.0,2024-04-26,2024-04-25
9,3891873342,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3891873342,"Data Engineer Intern Razer Inc. Singapore 1 week ago 103 applicants See who Razer Inc. has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer Intern role at Razer Inc. Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer Intern at Razer Inc. . Email or phone Password Show Forgot password? Sign in Report this job Joining Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work , offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric  experience that will put you in an accelerated growth, both personally and professionally. Job Responsibilities Intern will be playing a key role in the revamp of existing data pipelines and building new pipelines that are essential for data analyst/data scientist to perform analytics. By studying and understanding the data and pipelines, the intern will perform data profiling, data processing, automation and deployment to ensure that data is reliable and available to our end users. Throughout the process, the intern will learn the skills of proper documentation for these works. Requirements Creative and innovative mindset and ability to work independently Ability to use one or more development language (Python, SQL, Dbt, etc) Familiar with cloud technologies (Amazon Web Services, Google Cloud Platform) Familiar with orchestration tools. Interest and experience in Data Engineering and Analytics Learning Objectives and Outcomes Learning Objectives The intern can learn data operations concept, data engineering skills and understand the wider realm of data engineering. The application of the different cloud computing knowledge can also be picked up. Learning Outcome Industry practices and essentials to writing clean code in Python Industry usage of a proper CI/CD for code repository integration and deployment Pipeline design and boiler plating SQL database schema and table structure design SQL database usage of materialized view, view for operations Cloud computing technology – AWS Infrastructure as code - Terraform Technical requirement gathering and translation to end to end data pipeline Pre-Requisites Creative and innovative mindset and ability to work independently Ability to use one or more development language (Python, SQL, etc) Familiar with cloud technologies (Amazon Web Services, Google Cloud Platform) Familiar with orchestration tools. Interest and experience in Data Engineering and Analytics Are you game? Show more Show less Seniority level Internship Employment type Full-time Job function Information Technology Industries Computers and Electronics Manufacturing Referrals increase your chances of interviewing at Razer Inc. by 2x See who you know",Razer Inc.,Data Engineer Intern,Internship,Singapore,1 week ago,103.0,2024-04-26,2024-04-19
