job title,description,company,salary range,url
Senior Business Intelligence (BI) Data Analyst,"Senior Business Intelligence (BI) Data Analyst Dyson Singapore, Singapore 1 month ago Over 200 applicants See who Dyson has hired for this role Apply Join or sign in to find your next job Join to apply for the Senior Business Intelligence (BI) Data Analyst role at Dyson Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Senior Business Intelligence (BI) Data Analyst at Dyson . Email or phone Password Show Forgot password? Sign in Report this job About Us The Global Finance Analytics (GFA) team is an integral part of Dyson’s finance community. We deliver reporting and analysis of commercial performance across the group, both financial and non-financial, liaising directly with global markets and to provide support to the Dyson Executive Team. As a Centre of Excellence for Analytics we deliver strategic insights from data and see into the future to enable data-driven decision making as a valued and credible business partner. Our Strategic Focus Areas Include Data: Enterprise-wide curated data available for cross functional analytics Visualization: Self-serve, interactive, dynamic content Data Culture: Embed data in everything we do People: Individual growth = team growth As a Senior BI Data Analyst, you will be an essential part of the GFA team, managing BAU activities and contributing to the delivery of insightful analytics for our global stakeholders, including various groups, categories, markets, and within the Finance and Commercial departments. Your natural curiosity and financial acumen will fuel your passion for working with data to uncover valuable insights and patterns through the solutions you develop. Additionally, you will actively participate in data strategy projects, focusing on building new data assets, ensuring Data Quality, addressing Data Security, and managing Master Data Management initiatives in collaboration with our IT team. About The Role BAU Activities: Administrate the tableau site and collaborate with IT to govern the access control for the dashboards Manage month end activities, such as running data extract and managing refresh schedule monitor data pipeline, etc Be able to troubleshoot and identify root cause of data issue independently and get it resolved with relevant teams Managing dashboard catalogue for FP&A and answer data queries from business users on data integrity or data transformation, etc. Data Engineering And Analytics Development Collaborate with the business teams to design, test, and implement analytics products and interactive visuals that facilitate data discovery and drive actionable insights from end to end. Take ownership of data assets and enhance existing data assets in Google Cloud Platform (GCP) to satisfy changing business needs. Data Security And Governance Adhere to data security protocols and governance policies, ensuring that sensitive data is handled and stored appropriately. Participate in discussions with the IT to implement and improve the current data governance framework for analytical products Project Management Support projects aligned with strategic goals, such as leading master data consistency and alignment initiatives to address data quality challenges and establish efficient processes. Drive projects aimed at delivering automated reporting solutions to improve data-driven decision-making processes. About you Bachelor's degree in computer science, data science, statistics, business administration, or a related field, with relevant working experience. Proven experience with Tableau Proficiency in working with cloud data platform such as GCP or similar and skilled in writing performant SQL Knowledge on finance reporting and experience on financial analysis desired Proactive and self-driven, capable of taking ownership of initiatives and overcoming challenges Excellent communication skills with the ability to present to senior leaders Working knowledge with SAP BW, SAP HANA is a plus Experience with Data Security and Data Governance is a plus Experience with RPA software such as Power Automate or UiPath is a plus Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Business Development and Sales Industries Appliances, Electrical, and Electronics Manufacturing Referrals increase your chances of interviewing at Dyson by 2x See who you know",Dyson,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3811700384
"Senior Compliance Data Analyst, CEO Office","Senior Compliance Data Analyst, CEO Office OKX Singapore 3 weeks ago 48 applicants See who OKX has hired for this role Apply Join or sign in to find your next job Join to apply for the Senior Compliance Data Analyst, CEO Office role at OKX Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Senior Compliance Data Analyst, CEO Office at OKX . Email or phone Password Show Forgot password? Sign in Report this job Who We Are At OKX, we believe our future is reshaped with technology. Founded in 2017, OKX is one of the world's leading cryptocurrency spot and derivatives exchanges. OKX innovatively adopted blockchain technology to reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 20 million users in over 180 regions globally, OKX strives to provide an engaging platform that empowers every individual to explore the world of crypto. In addition to its world-class DeFi exchange, OKX serves its users with OKX Insights, a research arm that is at the cutting edge of the latest trends in the cryptocurrency industry. With its extensive range of crypto products and services, and unwavering commitment to innovation, OKX vision is a world of financial access backed by blockchain and the power of decentralized finance. We invest in our people as much as we invest in technology. We are united by our engaging culture, here we win as a team, embrace changes, and do the right thing. We are committed to creating a friendly, rewarding and diverse environment for OKers. It doesn't matter where you come from, here everyone feels valued, respected and has the same opportunities to develop and thrive-we want to bring out the best in you. What You'll Be Doing Facilitate internal data requests for all OKX global entities to assure quality and data integrity for external audits and exams, and to provide analysis on customer profiles, transaction activity and company financial data Creating and maintaining operational and tools analytics in support of our operational effectiveness and tuning the efficiency of our tools Design and implement analytics strategies to convert data into actionable business intelligence Build and automate key performance dashboards and metrics reporting for all Compliance & Finance processes to display insights and provide transparency about our customers and our platform Map all required data points to understand the current data architecture and seek improvements, where necessary Assist in defining, and developing deep insights and root cause analysis for our Compliance and Finance teams Collaborate across product, engineering, data science, marketing, business development, finance and our customers to help build and continuously improve the data pipeline Hone your skills on data visualization to create and maintain automated dashboards What We Look For In You Experience in developing data analytics solution or machine learning models for compliance Experience in design, development and implementation of data analytics solution using Python and data visualization tools such as Power BI / Qlikview / Tableau. Good knowledge in statistical analysis, data mining and processing, decision tree design, clustering, knowledge of SQL, Python or other analytics tools are essential. Compliance reporting is a nice to have Perks & Benefits Competitive total compensation Comprehensive insurance coverage for employees and their dependants More that we love to tell you along the process! Show more Show less Seniority level Executive Employment type Full-time Job function General Business, Human Resources, and Accounting/Auditing Industries IT Services and IT Consulting Referrals increase your chances of interviewing at OKX by 2x See who you know",OKX,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3879810224
Data Governance Analyst,"Data Governance Analyst Certis Singapore, Singapore 2 weeks ago Over 200 applicants See who Certis has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Governance Analyst at Certis . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Certis Ashraf K. Ashraf K. Talent Acquisition | Talent Strategy | Cybersecurity About Certis We are a leading outsourced services partner that designs, builds and operates multi-disciplinary smart security and integrated services. We put technology to work in making the world a safer place. Our mission is that as trusted partners, we protect lives and assets, and deliver integrated critical services. By empowering our people, our goal is to enable our communities to stay safe and thriving. We offer a broad range of opportunities and career pathways for our people to grow and explore their potential. We believe that people, equipped with innovative thinking and technological capabilities will make the world safer, smarter and better. Life at Certis If you are a passionate individual looking for opportunities to expand your skills, and purposeful work instead of just a ‘job’, we would love to hear from you. At Certis, no two days look alike. Our work calendars are filled with chances to collaborate with others, and bring new initiatives to life. Whether you’re looking to improve a process, or have an innovative idea awaiting a technology solve, we want you to bring your ideas to the table. We are a close-knit team that looks out for each other, works hard to get the job done, and encourages each other to grow – the perfect place for you to grow your career! Responsibilities we will trust you with: Data Governance Policies and Standards: Establishing clear policies, standards, and procedures to ensure consistent and high-quality data across the organization. Data Quality Management: Monitoring and assessing data quality through processes such as profiling, validation, and cleansing. Collaborating with data owners and stewards to define and enforce data quality standards promptly. Metadata Management: Overseeing the creation and management of metadata repositories to ensure accurate documentation of data assets. Facilitating the adoption of metadata standards and taxonomies to enhance data discoverability and lineage. Data Classification and Security: Classifying and labeling sensitive data elements and collaborating with security and compliance teams to enforce data protection policies. Implementing and monitoring access controls to ensure data security and confidentiality. Stakeholder Collaboration: Working closely with business units, IT teams, and data owners to understand data requirements and business processes. Acting as a liaison between business and technical teams to promote a collaborative approach to data governance. Data Compliance and Auditing: Ensuring compliance with relevant data protection regulations, industry standards, and internal policies. Conducting regular audits to assess adherence to data governance policies and recommending improvements as needed. Training and Communication: Developing and delivering training programs on data governance principles, policies, and best practices. Communicating effectively with stakeholders to raise awareness of the importance of data governance and its impact on business outcomes. Your areas of knowledge and expertise that matter most for this role: Bachelor's degree in a relevant field (e.g., Information Management, Computer Science, Business Analytics). Proven experience in data governance, data management, or a related role. Strong understanding of data quality, metadata management, and data classification concepts. Familiarity with data protection regulations and industry best practices. Excellent communication and interpersonal skills, with the ability to work collaboratively across departments. Proficient in data governance tools and technologies. Analytical mindset with attention to detail and problem-solving skills. What you can expect from us: Work on world-class security projects renowned for their safety, reliability, and efficiency. Commitment to your ongoing development, including on-the-job opportunities, formal programs, and assistance with further education. Community volunteering opportunities. A competitive remuneration package featuring performance-based incentives, medical insurance, and a dental allowance. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Consulting and Information Technology Industries Security and Investigations Referrals increase your chances of interviewing at Certis by 2x See who you know",Certis,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3877879886
Data Engineering Analyst,"Data Engineering Analyst Avensys Consulting Singapore, Singapore 1 week ago 194 applicants See who Avensys Consulting has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineering Analyst at Avensys Consulting . Email or phone Password Show Forgot password? Sign in Report this job Avensys is a reputed global IT professional services company headquartered in Singapore. Our service spectrum includes enterprise solution consulting, business intelligence, business process automation and managed services. Given our decade of success we have evolved to become one of the top trusted providers in Singapore and service a client base across banking and financial services, insurance, information technology, healthcare, retail and supply chain. We are currently looking to hire a Data Engineering Analyst . This is an exciting opportunity to expand your skill set, achieve job satisfaction and work-life balance. More details as below. JOB TYPE 1-year renewable contract ROLES AND RESPONSIBILITIES Using the Talend ETL toolset, to create new and maintain existing ETL jobs. Design and implement ETL for extracting and transforming data from diverse sources, such as: Cloudera, PostgreSQL, and SQL Server databases. Design and develop database tables necessary along with the necessary constraints as per the requirement. Collaborate with Team members to understand source system structures and data retrieval methods/techniques, and tools within the organization. Support the development of data transformation logic using ETL tools or scripting languages like SQL, Python, etc. Clean, validate, and transform data to conform to target schema and quality standards. Work with the Team to execute data quality improvement plans. Participate in troubleshooting activities to maintain data integrity and process efficiency. REQUIREMENTS Experience with Talend, Python and Spark Should have good knowledge and working experience in Database and Hadoop (Hive, Impala, HDFS). Understanding of data-warehousing and data-modeling techniques Knowledge of industry-wide visualization and analytics tools Good interpersonal skills and positive attitude qualifications Degree in computer science, mathematics, or engineering WHAT’S ON OFFER You will be remunerated with an excellent base salary and entitled to attractive company benefits. Additionally, you will get the opportunity to enjoy a fun and collaborative work environment, alongside a strong career progression. To submit your application, please apply online or email your UPDATED CV in Microsoft Word format to keerthana@aven-sys.com .Your interest will be treated with strict confidentiality. CONSULTANT DETAILS Consultant Name: Keerthana Ramakrishnan Avensys Consulting Pte Ltd EA License 12C5759 Privacy Statement: Data collected will be used for recruitment purposes only. Personal data provided will be used strictly in accordance with the relevant data protection law and Avensys' privacy policy. Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Information Technology Industries Information Services Referrals increase your chances of interviewing at Avensys Consulting by 2x See who you know",Avensys Consulting,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3889011323
Senior Data Analyst - Institutional Data,"Senior Data Analyst - Institutional Data OKX Singapore 1 month ago 170 applicants See who OKX has hired for this role Apply Join or sign in to find your next job Join to apply for the Senior Data Analyst - Institutional Data role at OKX Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Senior Data Analyst - Institutional Data at OKX . Email or phone Password Show Forgot password? Sign in Report this job OKX will be prioritising applicants who have a current right to work in Singapore, and do not require OKX's sponsorship of a visa. Who We Are At OKX, we believe the future will be reshaped by technology. Founded in 2017, we are revolutionising world systems through our cutting-edge digital asset exchange, Web3 portal and blockchain ecosystems. We reshape the financial ecosystem by offering some of the most diverse and sophisticated products, solutions, and trading tools on the market. Trusted by more than 50 million users in over 180 countries globally, OKX empowers every individual to explore the world of Web3. With our extensive range of products and services, and unwavering commitment to innovation, OKX envisions a world of financial access backed by blockchain and the power of decentralized finance. We are innovative in the way we think, work, and in the products we create. We are also socially responsible by actively participating and encouraging employees to take part in various public welfare activities. With more than 3,000 employees around the world, we believe embracing diversity and inclusion will spark the creation of long-term value for the industry. Come Build the Future with Us now! What You'll Do Data exploration and pre-processing Conduct exploratory data analysis to identify patterns, trends, and anomalies. Collect, clean, and preprocess large datasets to ensure data quality and reliability Statistical Analysis: Apply statistical methods to analyze data and extract meaningful insights for institutional clients. Develop and implement predictive models to support decision-making processes. Programming Proficiency: Utilize programming languages such as Python,etc. for data manipulation, analysis, and visualization. Collaborate with cross-functional teams to integrate analytical solutions into business processes. Solid knowledge on data modelling (e.g. Random Forest model, Clustering, SVN and so on) Business Intelligence: Interpret and communicate findings to non-technical stakeholders through reports, dashboards, and presentations. Collaborate with business units to understand analytical requirements and provide actionable recommendations. Continuous Improvement: Stay abreast of industry trends and advancements in data analysis techniques. Identify opportunities for process improvement and automation within the analytics workflow. What We Look For In You Bachelor's or Master's degree in a relevant field (e.g., Data Science, Statistics, Computer Science). Minimum of 5 years of hands-on experience in data analysis. Prior experience in crypto or traditional finance is preferred. Strong proficiency in Python programming languages, etc. Proven track record of working with large datasets and performing complex analyses. Excellent communication skills in English, with the ability to convey technical concepts to non-technical stakeholders. Familiarity with business intelligence tools and data visualization techniques Perks & Benefits Competitive total compensation package L&D programs and Education subsidy for employees' growth and development Various team building programs and company events More that we love to tell you along the process! Show more Show less Seniority level Associate Employment type Full-time Job function General Business, Human Resources, and Accounting/Auditing Industries IT Services and IT Consulting Referrals increase your chances of interviewing at OKX by 2x See who you know",OKX,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3820304659
Senior Data Analyst,"Senior Data Analyst Dyson Singapore, Singapore 1 month ago Over 200 applicants See who Dyson has hired for this role Apply Join or sign in to find your next job Join to apply for the Senior Data Analyst role at Dyson Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Senior Data Analyst at Dyson . Email or phone Password Show Forgot password? Sign in Report this job Part of an energetic and dynamic CITO group Based in Singapore as part of a global data community, you will work within multi-disciplinary agile squads working alongside some of the best agile leaders, data visualisation specialists, data engineers, data scientists, machine learning engineers, and business specialists. The CITO group is tasked with ensuring engineering excellence as a basic standard for the delivery of Dyson Solutions, Services and Products. Who You Are You think and dream all things data, enjoy working as part of an energetic and focused team that solves problems that have a direct line of sight to business value. You are consumed with automating anything that does not represent business value. You have a sense of ownership and enjoy hands-on technical work. Your values are important to us in the way you live and work. What You'll Do As a Data Analyst in Singapore, you will work in multi-disciplinary agile squads delivering data products and services. Have minimally 5 years of relevant experience Design and augment data collection techniques, making appropriate for analysis and reducing manual effort Analyse, model and visualise data from various sources (ie. BigQuery, SQL, Dataverse) for effective data storytelling Writing user stories and acceptance criteria for product delivery Working with Data Owners to productionise and enable self-service data products Active participation in ideation and discovery workshops to understand business pain-points, user requirements and business processes Actively seek to understand customers’ data landscape, provide insights to complex questions, and assess their appropriate data quality needs Identify automation opportunity as part of solutioning to simplify and optimize business processes/data flows Champion process re-engineering and Agile practices across teams as we continuously improve process flow THE DYSON TECH STACK We take technology agnostic approach when solving problems for diverse business functions. Some of the common languages include working with Python, R, SQL, DAX and VB using visualisation tools such as Tableau, PowerBI, Looker and Neo4J and on cloud platforms such as AWS, GCP and Azure. You will be expected to stay abreast of industry trends and emerging technologies to keep pace with Dyson’s innovative culture. Our global reputation is priceless, and it always hangs on what we do next. Dyson is a unique technology enterprise. We are authentic, different and pioneering. Our biggest category today didn’t even exist a few years ago. Our next biggest category? That could be where you come in. Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Appliances, Electrical, and Electronics Manufacturing Referrals increase your chances of interviewing at Dyson by 2x See who you know",Dyson,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3841759831
Statistician,"Statistician Singapore Department of Statistics (DOS) Singapore, Singapore 3 weeks ago Over 200 applicants See who Singapore Department of Statistics (DOS) has hired for this role Apply Join or sign in to find your next job Join to apply for the Statistician role at Singapore Department of Statistics (DOS) Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Statistician at Singapore Department of Statistics (DOS) . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Singapore Department of Statistics (DOS) Tan Lee Jing Tan Lee Jing Assistant Manager HR @ Singapore Department of Statistics What the role is You will be responsible for the development and management of databases that provide reliable, relevant and timely data to data users, to enable strategic use of data and information in making data-driven decisions and providing services to the public. What you will be working on You will be involved in the fusion of large amounts of data from multiple sources, and the development and implementation of algorithms to produce consistent and reliable data. As part of data management, you will also plan and manage data governance policies, standards and processes, and metadata. You will also be expected to support government data analytics projects, including working closely with users to understand their needs, and advising them on their data requirements. What we are looking for Possess knowledge or experience in Mathematics, Statistics, Data Science or subjects with substantial quantitative content Knowledge of data models, data schemas and data lineage will be an advantage Relevant experience in working with data for at least 3 years will be preferred Strong analytical and quantitative skills with the ability to learn and apply analytical tools Good communication skills Able to work well both independently and as a member of a team Show more Show less Seniority level Entry level Employment type Full-time Job function Analyst Industries Government Administration Referrals increase your chances of interviewing at Singapore Department of Statistics (DOS) by 2x See who you know",Singapore Department of Statistics (DOS),,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3842001956
Senior Data Analyst,"Senior Data Analyst Binance Singapore, Singapore 2 weeks ago 92 applicants See who Binance has hired for this role Apply Join or sign in to find your next job Join to apply for the Senior Data Analyst role at Binance Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Senior Data Analyst at Binance . Email or phone Password Show Forgot password? Sign in Report this job Binance is the leading global blockchain ecosystem and cryptocurrency infrastructure provider whose suite of financial products includes the world’s largest digital-asset exchange. Our mission is to accelerate cryptocurrency adoption and increase the freedom of money. If you’re looking for a fast-paced, mission-driven organization where opportunities to learn and excel are endless, then Binance is the place for you. Responsibilities Responsible for the overall planning, design, delivery and promotion of the Customer Service bot data analysis Design an effective analysis and reporting system to enable internal teams quickly break-down key metrics, diagnose weak areas and suggest actionable items Collaborate closely with cross-functional teams including PM, data engineering, and Customer Service operations team to achieve product objectives Review Customer Service bot KPI and user cases regularly and find valuable insights to guide product and operation improvements Requirements 5+ year experience; Bachelor’s degree and above in a quantitative or engineering field with professional work experience in a relevant field Strong analytical thinking and communication skills Experience with common analysis tools such as SQL, R, and Python Solid experience with at least one data visualization tool (Tableau, Qlik, PowerBI, etc.) Familiar and comfortable with large volumes of data and big data technology (Hadoop, Spark, Presto, hive) Experience in working with cross-functional teams to gather requirements and ability to set work priorities Good business sense and logical thinking. Ability to synthesize information and generalize the pattern Experience with customer service data analysis and AI bot analysis will be beneficial Working at Binance Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless Tackle fast-paced, challenging and unique projects Work in a truly global organization, with international teams and a flat organizational structure Competitive salary and benefits Flexible working hours, remote-first, and casual work attire Learn more about how Binancians embody the organization’s core values , creating a unified culture that enables collaboration, excellence, and growth. Apply today to be a part of the Web3 revolution! Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success. By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice . Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Analyst Industries Financial Services Referrals increase your chances of interviewing at Binance by 2x See who you know",Binance,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3886541491
Intelligence Analyst,"Intelligence Analyst Binance Singapore, Singapore 1 month ago 101 applicants See who Binance has hired for this role Apply Join or sign in to find your next job Join to apply for the Intelligence Analyst role at Binance Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Intelligence Analyst at Binance . Email or phone Password Show Forgot password? Sign in Report this job Binance is the leading global blockchain ecosystem and cryptocurrency infrastructure provider whose suite of financial products includes the world’s largest digital-asset exchange. Our mission is to accelerate cryptocurrency adoption and increase the freedom of money. If you’re looking for a fast-paced, mission-driven organization where opportunities to learn and excel are endless, then Binance is the place for you. Responsibilities: Investigate customer activities to detect money laundering and other potential risks Proactively identify unusual activity occurring on-chain and on the Binance platform Conduct investigations into unusual on-chain transactions and customer profiles Perform in-depth on-chain reviews and investigations utilizing leading tools, including Chainalysis, TRM Labs, and Elliptic Conduct reviews using on-chain data provided by open-source on-chain analytics tools, including Etherscan, Mempool, etc Write and develop succinct and complete reports summarizing unusual activity and mitigating risk Identify trends in abnormal or malicious activity in order to map out networks of bad actors Conduct detailed open source research to identify data vital to furthering investigations or due diligence initiatives utilizing leading tools, including Flashpoint Requirements: Bachelor’s degree in finance, computer science, or criminology from an accredited institution 2+ years of experience in AML/CTF investigations within a fintech or cryptocurrency company Advanced experience with blockchain monitoring/analytics tools such as Chainalysis, Elliptic, TRM, etc Experience researching and analyzing cyber-crime, especially if financial in nature, and familiarity with cybercriminal organizations and tactics Ability to conduct network analysis efficiently datasets and create diagrams depicting illicit networks Analytical problem solver with extensive experience in compliance functions Ability to navigate through ambiguity in a fast-paced, dynamic environment Self-starter: take initiative, be dedicated, and be creative to achieve team goals. Be laser-focused on developing tools to maximize efficiency and value Excellent verbal and written communication skills, and fully dedicated to delivering a value-add service to business customers and internal stakeholders Demonstrated abilities to ask the right questions and to use sound business judgment when collaborating with a wide-range of stakeholders Strong proficiency in English (spoken and written), additional language proficiencies nice to have Working at Binance Be a part of the world’s leading blockchain ecosystem that continues to grow and offers excellent career development opportunities Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless Tackle fast-paced, challenging and unique projects Work in a truly global organization, with international teams and a flat organizational structure Competitive salary and benefits Flexible working hours, remote-first, and casual work attire Learn more about how Binancians embody the organization’s core values , creating a unified culture that enables collaboration, excellence, and growth. Apply today to be a part of the Web3 revolution! Binance is committed to being an equal opportunity employer. We believe that having a diverse workforce is fundamental to our success. By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice . Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Other, Information Technology, and Management Industries Financial Services Referrals increase your chances of interviewing at Binance by 2x See who you know",Binance,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3857854019
Data Analyst – Honkai: Star Rail,"Data Analyst – Honkai: Star Rail HoYoverse Singapore 1 month ago Over 200 applicants See who HoYoverse has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Analyst – Honkai: Star Rail role at HoYoverse Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Analyst – Honkai: Star Rail at HoYoverse . Email or phone Password Show Forgot password? Sign in Report this job Who Are We? At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept. Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields. HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas. When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process. What You Will Do: Be responsible for various data work related to game content design and tuning, and monetization, including but not limited to establishing analysis system, monitoring daily data, carrying out case analysis and mathematical modeling. Provide data support for operation strategies with various methods, including but not limited to global data analysis and prediction, player behavior and player persona analysis, and game performance analysis. Take charge of the development global data platform, to achieve industrialization, standardization and compliance of data administration and application. What We Are Looking For: 3 years’ of working experience, including at least 2 years of relevant experience, with experience with at least 1 game’s data analysis experience, and the ability to manage data analysis and research projects. Proficiency in SQL and data analysis tools including Excel, SPSS, Python or SAS. Familiar with common data mining model (for example, clustering, regression, decision tree) Sensitive to data, possess a strong learning ability, strong logical and analytical capabilities, and project execution skills, and able to communicate with designers and developers, good communication skills in English and Chinese are preferred. Game lovers who are familiar with anime games are preferred. We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Computer Games and Internet Publishing Referrals increase your chances of interviewing at HoYoverse by 2x See who you know",HoYoverse,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3693536674
