job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75375824,"Manager, SIT Teaching and Learning Academy (Data Analytics)",-,Singapore Institute of Technology,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-24 04:02:19,8h ago,https://www.jobstreet.com.sg/job/75375824
75386609,"Senior/ Analyst, Data Science, Group Finance Analytics (Contract)","You will champion the development of new data science techniques, methodologies and delivery of analytics projects.",Singapore Health Services Pte Ltd (SingHealth HQ),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-24 09:25:01,3h ago,https://www.jobstreet.com.sg/job/75386609
75367548,"Senior Data Analyst, O&T Quality Assurance - Innovation and Analytics (AVP/C12)","The O&T Quality Assurance (QA) in O&T s COO function and is responsible to provide strong oversight, facilitate reviews and support Citi s effectiv...",Citibank N.A.,Central Region,Information & Communication Technology,Testing & Quality Assurance,Full time,,2024-04-23 16:55:00,19h ago,https://www.jobstreet.com.sg/job/75367548
75321199,"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Marketing & Communications,Marketing Communications,Full time,,2024-04-22 07:53:08,2d ago,https://www.jobstreet.com.sg/job/75321199
75339613,"Manager, Group Care Plan Operations, Data Analytics & Insights(6318)",-,NUHS Group Ops & IT,Central Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-04-23 02:14:32,1d ago,https://www.jobstreet.com.sg/job/75339613
75380977,Lecturer/Diploma in Big Data & Analytics,"Lecturer in School of Informatics & IT (Diploma in Big Data & Analytics)
[What you will be working on]
  Conduct lessons and carry out all relevant...",Public Service Division,Central Region,Education & Training,Teaching - Tertiary,Full time,,2024-04-24 02:31:00,10h ago,https://www.jobstreet.com.sg/job/75380977
75368539,"Intern, Data Analytics, Disney+ - Jul to Dec 2024","The Data Analytics Intern supports the teams in all analytics functions behind all user growth initiatives and help monitor and optimize program, c...",The Walt Disney Company (APAC),Central Region,Marketing & Communications,Marketing Communications,Full time,,2024-04-23 12:12:00,1d ago,https://www.jobstreet.com.sg/job/75368539
75386522,"Principal Analyst, Group Finance Analytics","You will provide technical advisory to the analysts, establishing data analytics support.",Singapore Health Services Pte Ltd (SingHealth HQ),Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24 09:24:02,3h ago,https://www.jobstreet.com.sg/job/75386522
75340009,Data Analyst,"Unleash insights as a Data Analyst! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23 02:26:32,1d ago,https://www.jobstreet.com.sg/job/75340009
75344816,Business Risk Specialist  Data Analytics & Sampling - Singapore,You'll be working in the Wealth Management Asia Pacific (WM APAC) Regional Business Risk Organization Control Framework Team. We support the WM APAC,Hays Specialist Recruitment Pte Ltd,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Contract/Temp,$5000.0 - $10000.0 per month + Attractive salary & care,2024-04-23 04:20:31,1d ago,https://www.jobstreet.com.sg/job/75344816
