url,company_name,job_title,location,employment_type,job_level,job_function,salary_lower,salary_upper,salary_period,num_applications,posted_date,address,experience,closing_date,job_description,Salary
https://www.mycareersfuture.gov.sg/job/information-technology/artificial-intelligence-application-developer-dbsg-beyondsoft-international-65fac31a8853b908dd3903c6416cd9b1?source=MCF&event=Search,BEYONDSOFT INTERNATIONAL (SINGAPORE) PTE. LTD.,Artificial Intelligence (AI) Application Developer - DBSG,East,Full Time,Executive,Information Technology,6000.0,8000.0,Monthly,1.0,25 Apr 2024,,,25 May 2024,"Roles & Responsibilities
COMPANY DESCRIPTION
Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of ""Using technology to promote social progress, economic development and become a global customer preferred partner"" and our concept of ""Beyond your expectations"", Beyondsoft is committed to provide our customers in countries along the ""Belt and Road"" with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development.
Our core business includes:
IT development services providing customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services;
New retail solutions and products through intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations;
Internet of Things (IoT) platform and solutions comprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future.
For more information, please visit www.beyondsoft.com.
RESPONSIBILITIES
As an Artificial Intelligence (AI) Application Developer, you will be responsible for designing and developing software applications that leverage artificial intelligence to solve specific business problems. You will work closely with AI/ML engineers and data scientists to integrate AI capabilities into user-friendly applications.
Role Responsibilities
Develop and maintain AI-driven applications
Collaborate with AI/ML engineers to integrate machine learning models into applications
Ensure high performance and responsiveness of applications
Conduct testing and debugging of AI applications
Document application development processes for future reference and compliance
QUALIFICATIONS
Bachelor's Degree in Computer Science, Software Engineering or related studies
Minimum 3 years of relevant experience as Software Developer
Strong programming skills in languages such as Python, Java, or C#
Experience with AI frameworks and tools (e.g., TensorFlow, PyTorch)
Understanding of user interface design and development.
Experience in banking & finance domain required
Please note that your application will be sent to and reviewed by the direct employer - Beyondsoft International (Singapore) Pte Ltd",$6000.0 - $8000.0 Monthly
https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-dbsg-beyondsoft-international-d297e04a21fa7e851db99d783b019dfc?source=MCF&event=Search,BEYONDSOFT INTERNATIONAL (SINGAPORE) PTE. LTD.,Software Engineer (AI / ML) - DBSG,East,Full Time,Executive,Information Technology,7000.0,8500.0,Monthly,2.0,25 Apr 2024,,,25 May 2024,"Roles & Responsibilities
COMPANY DESCRIPTION
Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of ""Using technology to promote social progress, economic development and become a global customer preferred partner"" and our concept of ""Beyond your expectations"", Beyondsoft is committed to provide our customers in countries along the ""Belt and Road"" with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development.
Our core business includes:
IT development services providing customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services;
New retail solutions and products through intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations;
Internet of Things (IoT) platform and solutions comprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future.
For more information, please visit www.beyondsoft.com.
RESPONSIBILITIES
As a Software Engineer with a focus on Artificial Intelligence/Machine Learning (AI/ML), you will develop software systems that incorporate advanced machine learning and artificial intelligence technologies. You will work closely with Machine Learning (ML) Engineers and Data Scientists to implement and optimize Artificial Intelligence (AI) systems.
Role Responsibilities
Design, develop, and maintain AI/ML software solutions
Collaborate with AI researchers and data scientists to bring machine learning models into production
Optimize software for performance and scalability
Maintain and improve the existing codebase for AI applications
Write clean, manageable code and maintain proper documentation
QUALIFICATIONS
Bachelor's Degree in Computer Science, Computer Engineering or related studies
Minimum 2 years of relevant experience as Software Engineer with AI/ML field
Proven experience with AI/ML technologies
Strong programming skills in Python, C++, or Java
Familiarity with AI/ML frameworks (e.g., TensorFlow, PyTorch)
Experience in banking & finance domain required
Strong problem-solving and communication skills
Please note that your application will be sent to and reviewed by the direct employer - Beyondsoft International (Singapore) Pte Ltd",$7000.0 - $8500.0 Monthly
https://www.mycareersfuture.gov.sg/job/engineering/ai-engineer-prestige-media-management-804b032c1841d817dca5b822c0a82d6e?source=MCF&event=SuggestedJob,PRESTIGE MEDIA MANAGEMENT PTE. LTD.,AI ENGINEER,Islandwide,Full Time,Professional,Engineering5 Years Exp,5000.0,11000.0,Monthly,15.0,01 Apr 2024,,,01 May 2024,"Roles & Responsibilities
Hee Labs is a Silicon Valley-based AI education company backed by three renowned investors listed on the Forbes Midas List. Our flagship product, Heeyo, is an AI teacher for children's education. Founder Xiao Yin Qu is a serial entrepreneur who has been recognized as one of the top 100 female founders in the United States by Inc. Magazine and has also been acknowledged by Fast Company as one of the most innovative companies.

This is a full-time remote position for an AI engineer. The AI engineer will be responsible for tasks such as pattern recognition, computer science, neural networks, software development, and natural language processing (NLP). They will be dedicated to developing and implementing AI algorithms, designing and training neural networks, and creating software solutions. The AI engineer will collaborate with cross-functional teams to integrate AI technology into various applications and systems.

Responsibilities
Keep track of and explore cutting-edge AIGC/Chat-GPT/LLM algorithms and technologies, and explore educational product applications based on AIGC algorithm technology.
Responsible for the research and application of AI technology in the education field, including architecture design, development, maintenance, and optimization in the AIGC direction.
Collaborate closely with product and educational research departments to ensure the quality and speed of product delivery.
Stay updated on the latest developments in generative AI and apply them to our products.
Qualifications
Full-stack engineer with strong hands-on and engineering skills, able to quickly conduct demo experiments and implementations.
Familiar with deep learning algorithms such as CLIP, diffusion models, NeRF, MVSNet, Differentiable Rendering, and proficient in using frameworks such as PyTorch/TensorFlow, as well as open-source image libraries.
Proficient in Python.
Good communication skills, strong teamwork spirit, sense of responsibility, and initiative.
Ability to independently analyze and solve problems, as well as good documentation writing and team communication skills.
Bonus Points
Enthusiast in open-source projects with experience in maintaining projects on GitHub.
Entrepreneurial experience with startup team experience from 0 to 1.
Strong programming skills with awards such as ACM-ICPC/CCPC Regional Gold Medal or above.
Please send your CV to prestigemedia.recruitment for application.",$5000.0 - $11000.0 Monthly
https://www.mycareersfuture.gov.sg/job/information-technology/generative-ai-strategist-amazon-web-services-singapore-28764f36a4ee91c2265ca43be96f7dc1?source=MCF&event=Search,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Generative AI Strategist,Central,Permanent,Professional,Information Technology,13000.0,25000.0,Monthly,67.0,25 Apr 2024,,,25 May 2024,"Roles & Responsibilities
Amazon Web Services (AWS) is looking for experienced and motivated business-oriented technologists who possess a unique balance of business knowledge, effective interpersonal skills, and some technological depth in the following areas: analytics/big data, machine learning and generative artificial intelligence. This role will focus on partnering with customers to enhance their business or operational outcomes through the use of advanced and emerging technologies.
You will partner with customers, AWS Sales, AWS service teams, AWS industry teams and AWS Professional Services delivery teams to craft industry-specific programs that will serve the needs of the customer, and extend that use to other customers within the industry and related industries. You will leverage and refine a programmatic approach to help customers drive their business metrics across a set of industry-specific needs. As a trusted customer advocate, the Generative AI Strategist will assess and deliver best practices around program delivery, project approaches, and business measurement. The ability to connect business value to a scalable, repeatable, extensible approach is critical to the Strategist role.
Key job responsibilities
Bring alignment between customer’s technologists and business leads; help them to explore the art of the possible with generative AI and machine learning, and to develop a roadmap to deliver business value in the most effective way
Discuss complex industry-specific business concepts with executives, line managers and technologists
Engage with various AWS teams, including applied scientists, solutions architects, business development, marketing, industry specialists, partners and regional organisations
Drive large, complex sales opportunities from ideation, through vision building and scoping, all the way to closure and into delivery
Conduct workshop sessions to identify opportunities with our customers to scope how they could deliver business value through the use of generative AI or machine learning

Basic qualifications
7+ years of professional experience
3+ years of experience in the industry as a ML practitioner or executive
Experience participating in the sales lifecycle (directly or indirectly)
Experience in management consulting or related work
Experience launching technically complex programs, projects, or related work that includes the following: Big Data, Analytics, Artificial Intelligence, and Machine Learning
Preferred qualifications
Executive communication skills
Writing communications skills
Experience with presenting to audiences of 5 to 50 people of various levels (developers to executives) and backgrounds (business, technical, operations)
Experience in management consulting or related
Advanced degree (e.g., MBA, MS)",$13000.0 - $25000.0 Monthly
https://www.mycareersfuture.gov.sg/job/information-technology/product-manager-singapore-telecommunications-fd2441172d2363b678bcf4f418ab337d?source=MCF&event=Search,SINGAPORE TELECOMMUNICATIONS LIMITED,Product Manager (AI & Data),East,Full Time,Manager,Information Technology,5000.0,10000.0,Monthly,4.0,25 Apr 2024,,,09 May 2024,"Roles & Responsibilities
Be a part of something BIG!
The role is responsible to plan and integrate the use of AI and Data Science into Enterprise product offerings through an integrated managed services platform. The candidate needs to understand Enterprise suite of product offerings to identify and explore approaches and tools to integrate AI and Data into productized and customized offering to bring about upsell opportunities and drive operations efficiency.

Make an Impact by:
Product management to integrated AI and Data solutions into Enterprise Managed Services product offering.
Explore and identify AI, ML tools and technology with vendors and engineering to integrate into Singtel platform for integrated service offering.
Create AI and Data driven services to value-add service experience by upselling capabilities and/or drive operations efficiency.
Manage AI and Data roadmap and corresponding lifecycle for customers’ deployment.
Establish and enable pre-sales to articulate and pitch AI and Data offering.
Design and execute AI & Data processes to review, monitor and improve offering.
Co-create with prospective customers to develop new AI and Data use cases to enrich service offering.
Work with various stakeholders in Finance, Operations, Sales, Marketing to drive Go-To-Market (GTM) activities and service delivery excellence.
Skills for Success:
Degree in Computer Science, Engineering, Mathematics, Statistics, or a related field.
Min 2 years’ experience in AI/ML, software development, analytics, and related roles.
Good understanding in the use of data in major industry verticals, e.g., retail, logistics, manufacturing, hospitality, healthcare, education, etc.
Ability to analyse a situation and gather data/info to make decisions (i.e., critical thinking).
Interest in creating new solutions with AI, ML with the use data tools and technologies.
Keen interest in of technology developments, market trends, and needs of the enterprise business market.
Knowledge of IP routing technologies.
Effective collaboration skills to work in teams to develop and implement new solutions.
Good problem solving, communication, presentation, and program management skills.
Ability to work with multiple stakeholders across diverse teams.
Rewards that Go Beyond:
Full suite of health and wellness benefits.
Ongoing training and development programs.
Internal mobility opportunities.
Your Career Growth Starts Here. Apply Now!
We are committed to a safe and healthy environment for our employees & customers and will require all prospective employees to be fully vaccinated.",$5000.0 - $10000.0 Monthly
https://www.mycareersfuture.gov.sg/job/engineering/ai-asic-engineer-ic-design-entry-level-expedera-rd-1b0b0d9922df36fd285b04baf2be2864?source=MCF&event=Search,EXPEDERA R&D PTE. LTD.,AI ASIC Engineer IC Design Entry-Level,Islandwide,Full Time,Fresh/Entry Level,Engineering,4000.0,6000.0,Monthly,,,,,,"Roles & Responsibilities
RESPONSIBILITIES INCLUDE, BUT ARE NOT LIMITED TO:
• Develop microarchitecture and RTL design and verification for Expedera AI accelerators
• Explore microarchitecture and architecture for design space optimization (power/performance/area)
• Collaborate with HW/SW architects in HW specification process, HW/SW co-design
• Execute with DevOps for quality assurance
REQUIRED QUALIFICATIONS AND EXPERIENCE:
• Bachelor's degree or equivalent in a relevant field such as electrical engineering, computer science. Graduating Masters are welcome.
• Familiarity with SystemVerilog, UVM, VCS, Python, Linux
• Debugging (GDB etc)
PREFERRED QUALIFICATIONS AND EXPERIENCE:
• GPUs, AI accelerators/NPUs, FPGAs
• C++
• Git, Jenkins, Continuous Integration/Continuous Delivery, JIRA
• Machine Learning/Deep Learning",$4000.0 - $6000.0 Monthly
https://www.mycareersfuture.gov.sg/job/information-technology/ai-rpa-robotic-process-automation-junior-middle-level-senior-developer-apply-asap-glosap-consulting-d906738064c687d24623c4f8f95493c8?source=MCF&event=Search,GLOSAP CONSULTING PTE. LTD.,AI &RPA-Robotic Process Automation -Junior / middle level / Senior Developer-Apply ASAP,North,Full Time,Professional,Information Technology,4000.0,5000.0,Monthly,3.0,24 Apr 2024,,,24 May 2024,"Roles & Responsibilities
RPA Developer Responsibilities:
Provide guidance with process design.
Design, develop, and test automation workflows.
Deploy RPA components including bots, robots, development tools, code repositories and logging tools.
Support the launch and implementation of RPA solutions.
Create process and end-user documentation.
Assure the quality of the automation (QA processes).
Work with Business Analysts, Scrum Masters, QA Analysts, Product Owners, and other cross-functional resources to define and deliver business impacting projects.
Work directly with stakeholders to capture business requirements and translate them into technical approaches and designs that can be implemented.
Collaborate with development team members to ensure proper implementation and integration of the solutions.
Support deployments or troubleshoot production issues outside of work hours and participate in an on-call rotation as-needed.
Maintain current knowledge of relevant technologies and business processes",$4000.0 - $5000.0 Monthly
https://www.mycareersfuture.gov.sg/job/information-technology/ai-engineer-id606303-persolkelly-singapore-c00d34b500dea3244e43e787ab5fcb9d?source=MCF&event=Search,PERSOLKELLY SINGAPORE PTE. LTD.,AI Engineer (R&D) [ID:606303],Central,Permanent,Professional,Information Technology,6000.0,9000.0,Monthly,3.0,24 Apr 2024,,,24 May 2024,"Roles & Responsibilities
Responsibility:
Involve in developing AI Business Model, AI / ML algorithm models for energy / solar systems
Implement AI / ML algorithm and verify product performance
Work closely with the product development team to develop multi-dimension AI, data mining and database management
Requirements:
Minimum Bachelor Degree in Computer Science or related
At least 5 years of artificial intelligence, machine learning and deep learning related experience
Energy Management experience is an added advantage
Technical Skills - model design, scripting, IoT technologies and database management
Other domains industrial experience are welcome to apply.
Interested candidate who wish to apply for the advertised position, please click on “Apply Now”. We regret that only shortlisted candidates will be notified.

Job Code: YIHN EA License NO.: 01C4394

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and its overseas subsidiaries and affiliates collecting, using and disclosing your personal data to prospective employers/companies based in any country for purposes of evaluating suitability for employment, conducting reference checks, administering employment related services and such other purposes stated in our privacy policy. Our full privacy policy is available at www.persolkelly.com.sg. If you wish to withdraw your consent, please drop us an email to let us know. Please feel free to contact us if you have any queries.",$6000.0 - $9000.0 Monthly
https://www.mycareersfuture.gov.sg/job/engineering/machine-learning-engineer-parallelchain-lab-c0e3983032275826deeead07618beb24?source=MCF&event=Search,PARALLELCHAIN LAB PRIVATE LIMITED,"Machine Learning Engineer (Data Science, Artificial Intelligence / AI)",South,Full Time,Professional,Engineering,6500.0,8500.0,Monthly,164.0,24 Apr 2024,,,24 May 2024,"Roles & Responsibilities
ParallelChain Lab is seeking a rigorous, innovative problem-solver to join the Data Science team.

This is a full-time, on-site position based in Singapore.

Duties
Conduct research and data processing to support fintech application development.
Stay updated on recent advances in AI research.
Develop and enhance biometric deep learning models, such as face and voice authentication.
Propose benchmarks and test models to ensure production readiness.
Perform data analysis and communicate data insights.
Create APIs and collaborate with the DevOps team to deploy AI models into production.
Automate workflows to optimize performance.
Qualifications and Requirements
Bachelor’s Degree in Science or Engineering disciplines (e.g. Computer Science, Physics, Statistics, Electrical Engineering).
Minimum 2 years experience in Python-based AI projects; knowledge of other languages is a plus.
Solid understanding of machine learning (e.g. CNN, Transformers, pre-training, transfer learning).
Hands-on experience with machine learning libraries (e.g. PyTorch and TensorFlow).
Proficient in machine learning tools (e.g. Hugging Face, MLflow, PyTorch Lightning, Hydra).
Familiar with SQL and NoSQL databases.
Fluent in English.
Strict adherence to our code of ethics: respect doctrines of intellectual property rights, trade secret protection, and fiduciary duties.
Bonus: Master's or PhD.
Bonus: Experience with DevOps tools (e.g. Git, Docker, Nginx).
Bonus: Experience in signal processing (e.g. FFT).
Bonus: AI publications in peer-reviewed journals.
Benefits & Work Environment
Health insurance including dental coverage.
Special leave provisions such as marriage leave, compassionate leave.
Staff stock options and performance-based token rewards.
A diverse, multicultural, English-speaking work culture.
Notes
Include your Git (if any) in your resume.
Recent graduates (2022 or after) should also submit a copy of academic transcripts.",$6500.0 - $8500.0 Monthly
https://www.mycareersfuture.gov.sg/job/sciences/scientist-ai-isce2-astar-research-entities-ade23a569f5a44650154c0224701e6f3?source=MCF&event=Search,A*STAR RESEARCH ENTITIES,"Scientist, AI, ISCE2",West,Contract,Professional,Sciences / Laboratory / R&D,5900.0,11800.0,Monthly,3.0,23 Apr 2024,,,23 May 2024,"Roles & Responsibilities
We are looking for a highly motivated and passionate computational scientist with a deep understanding of chemistry/cheminformatics to join our dynamic interdisciplinary team innovating at the nexus of chemistry and biotechnology for sustainable chemical manufacturing and bioproducts development. The responsibilities of the successful candidate will include but are not limited to:
· Responsibilities: Working on feature engineering, data augmentation, and hyperparameter optimization to improve the predictive accuracy of AI models
· Implement deep learning models (neural networks, convolutional neural networks, recurrent neural networks, generative AI..etc) for tasks such as molecular property prediction, molecular design, and chemical space exploration.
· Utilize natural language processing (NLP) techniques to analyze scientific literature and extract relevant information
· Collaborate with an interdisciplinary team across chemistry, biology, and data science to develop and implement AI solutions, machine learning models and algorithms
· Analyze data and present research findings at conferences, meetings, and to stakeholders while maintaining accurate records
· Write and publish high impact papers in peer-reviewed journals, alongside preparation of technical disclosures and patent applications
· Support the Division in project ideation, technology development, and grant applications
· Supervise and mentor junior researchers, fostering a collaborative and supportive work environment
· Other duties as assigned by the manager
Requirements:
-Ph.D. in chemistry, data science, machine learning, cheminformatics, computational chemistry or a related field.
-More than 5 years of experience
-Proven experience in developing and deploying machine learning/deep learning models for chemistry or a related field.
-Strong programming skills in Python (required).
-Proficiency with machine learning libraries such as TensorFlow, PyTorch, Scikit-Learn, etc.
-Familiarity with large language models (LLMs) or computational quantum chemistry (e.g. DFT with Q-Chem) is a plus.
-Familiarity with cheminformatics libraries such as RDKit, molecular docking methods, QSAR, chemical space analysis, with a particular focus on natural product chemistry, will be highly regarded.
-Effective communication and ability to work in cross-functional teams.
-Strong time management and organisational skills.
-Adaptable mindset, open to learning new skills, and willing to assist with various other tasks and experiments.

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",$5900.0 - $11800.0 Monthly
