job title,description,company,salary range,url
"Commercial Analyst Intern
","Company Description

“To be the most loved everyday food and groceries destination!” - that’s our mission at foodpanda (small ‘f’).

foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants-partners, cloud kitchens and cloud grocery stores — foodpanda is just one tap away, getting everything you need into your hands quickly and conveniently!

If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe here at foodpanda. foodpanda comprises of people from more than 60 nationalities, and we believe in winning through diversity.
foodpanda is part of the Delivery Hero Group, the world’s leading local delivery platform operating in 70+ countries worldwide

Job Description

We’re looking for a highly-driven and motivated Commercial Analyst Intern for our team in Singapore. The duration of the assignment will be for 6 months minimum. If you are looking for a place where you can gain hands-on exposure and have a direct impact, then this may be the place for you! He/She will assist the Senior Commercial Analyst to support the project management team on various projects, while still being able to work independently.
The ideal candidate This role will be based in Singapore and will report to the Senior Manager, Commercial Projects.
About the job:
We’re looking for a highly-driven and motivated Commercial Analyst Intern for our team in Singapore. In this role you will be working with big data, testing, analyzing and building models to provide strategic insights to the business as well as comprehensive solutions. If you are looking for a dynamic environment where you will be exposed to projects covering operations, marketing, commercial and finance, then this may be the place for you!
Responsibilities:
Conduct thorough, insightful and skilfully presented deep-dives into specific business topics and trends
Work closely with teams in the commercial department to understand business challenges and recommend solutions across the various projects.
Monitoring project KPIs, building and managing project dashboard to help evolve and define project vision and growing projects within budget and within scope
Analyze the data, create hypotheses, run experiments & prove the customer value as recommendations to the company
Automate and validate newly created reports and develop corrective actions to improve data integrity and quality
Support ad-hoc data requests and analysis

Qualifications

Requirements:
Analytical mind and business acumen with ability to work with large amounts of data to discover patterns and trends and to form conclusions based on findings. Must be extremely detail oriented.
Excellent analytical skills, independent thinking, data oriented, and knowledge of analytics tools required (SQL, Excel, Python)
Willingness to learn in a fast moving environment and eager to deliver the extra mile
Strong data visualization and statistical skills
High-energy with sound business acumen
Good communication and presentation skills
Quick learner and proven ability to handle multiple projects concurrently
Ability to work independently and within a team
Good command of English (Spoken & Written)
Exhibits the competencies: Drive for results, action-oriented, problem solving & analytical thinking
Adaptability to change
Positive and proactive attitude

Additional Information

What we offer:
A dynamic and challenging work environment.
A company committed to developing you personally and professionally.
A great working atmosphere with regular company and team events.
A vibrant and international team committed to diversity and inclusion.
Responsibility from day one in a fast growing and global company.
Our parent company, Delivery Hero, is a global leader in the food delivery industry processing over 3 million orders every day and operating in 40+ markets in the world, with 18,000 employees and approximately 500,000+ restaurant partners.",foodpanda,,https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=a1aff8cfc3aa93bd
"Country Real Estate Services (RES) Analyst
","Whether you’re at the start of your career or looking to discover your next adventure, your story begins here. At Citi, you’ll have the opportunity to expand your skills and make a difference at one of the world’s most global banks. We’re fully committed to supporting your growth and development from the start with extensive on-the-job training and exposure to senior leaders, as well as more traditional learning. You’ll also have the chance to give back and make a positive impact where we live and work through volunteerism.
Shape your Career with Citi
Citi’s Enterprise Services and Public Affairs (ESPA) aims to enhance how our stakeholders perceive and experience Citi. We manage our reputation by engaging with our stakeholders and delivering great spaces and services to colleagues and clients.
We’re currently looking for a high caliber professional to join our team as Assistant Vice President, Country Real Estate Services (RES) Analyst - Hybrid (Internal Job Title: Business Analytics Senior Analyst - C12) based in Changi Business Park, Singapore. Being part of our team means that we’ll provide you with the resources to meet your unique needs, empower you to make healthy decision and manage your financial well-being to help plan for your future. For instance:
We believe all parents deserve time to adjust to parenthood and bond with the newest members of their families. That’s why in early 2020 we began rolling out our expanded Paid Parental Leave Policy to include Citi employees around the world.
We empower our employees to manage their financial well-being and help them plan for the future.
We have a variety of programs that help employees balance their work and life, including generous paid time off packages.
Reports to Singapore Country Head, responsible for overall control of expenses and recoveries for Singapore (SG) portfolio and maintenance of all Real Estate Services (RES) General Ledger (GL) accounts, and maintain oversight over Vietnam and Indonesia GL accounts.
In this role, you’re expected to:
Financial Analysis and reporting
Responsible for overall control of expenses and recoveries for Singapore portfolio and maintenance of all RES GL accounts; oversight over Vietnam and Indonesia accounts
Month end check - track actuals against plan, forecast, prior month. Provide explanations for expense variance for all stake holders – Financial Planning & Analysis (FP&A) (for flash reporting), Country team, management
Pro-active forecasting of RES SG plan numbers (Line of Sight) for management reporting purposes based on trend, updates etc. Liaison with Transactions/Facilities Management/Project Management teams
Monthly submission of investment file, productivity file and Risk and Control (R&C) template
Review Direct charges and collate the quarterly True Up/ True Down for onward submission to Global for approval
Ensure project closures as per policy and track against plan. Accruals to be taken, if needed
Fixed Asset recon and checking of monthly additions / depreciation
Co-ordinate for annual Fixed Asset (FA) inventory count exercise. Ensure RES FA balances are updated
Processing of Global housing related re-class entries into RES lines and charge out to business. Work with Human Resources on tracking of rental and related cost
Post Proof transition to Finance & Risk Shared Services (FRSS), responsible for maintenance of accurate GL balances, proofing records and ensure 'no ageing' in General Ledger balances
Single point contact to regional, country, FA queries for SG RES
Annual budgeting exercise, Quarterly Multi-year Multi-scenario Forecasting (QMMF), Forecasts/, deepdives.
Work with SG RES team to provide financial inputs for Initiative Expenditure Proposal (IEP) preparation, Real Estate (move v/s stay) analysis etc.
Computing, reporting and tracking of reserves
Engage with Audit team, regional Compliance for SG related queries
Operations & Processing
Work with SG RES team and Finance & Risk Shared Services (FRSS) Lease Admin team for rental run. Accruals entries to be passed as needed
Utility tracking, re-class entries for General Interbank Recurring Order (GIRO) payments. Month End Accrual process for utilities
Monthly processing of entries for Financial Accounting Standards (FAS) 143 [Financial Accounting Standards Board (FASB) Interpretation No. (FIN) 47, asset amortizations
Processing of third-party vendor baseline billing, Accruals if necessary
Work with Facilities / Asset managers to track repair expenditure. Month end accrual process for repair and maintenance
Any other entries, Invoice processing / accruals as needed for one timers, regional expense etc,
Responsible for maintenance of all records (physical payment memos, approved reserve schedules, approved amortization/ FIN 47 schedule, Security Deposit and advances schedule) for Audit trail (soft and physical) and proofing
APS System Lead
Overall responsible for maintenance (service order opening etc) and processing of premise recovery on APS system
Work closely with Facilities Management (FM) for Space & Occupancy (Archibus) update
Monthly processing of billing file, Manual recoveries and entries as and when needed
One-point contact for all charging related queries, charges outlook submissions to regional FP&A and business
Project Management (PM) & Facilities Management (FM) Analysis and forecasting
Tracking of actuals against plan for all FM charges – Utilities, cleaning, Main Contracts, Repairs, above base expenditure
Track third party vendor baseline invoicing and Change Request (CR) and forecasting
Track closures of all Projects, including capitalization and accruals.
Provide inputs for FM & PM annual budgeting.
Compliance
Manage Control Assessment (MCA) documentation support.
Legal Entity Management (LEM) – provide data for the LEM submission
Institute of Chartered Secretaries and Administrators (ICSA) set-up and management with country controllers.
Compliance with Record Management policy. Storage, management, destruction of physical and digital records.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
As a successful candidate, you’d ideally have the following skills and exposure:
Qualifications:
5-8 years of experience
This position requires excellent analytical and business strategy skills
Effective communication skills
Ability to present to business partners and/or leaders to gain approvals
Project and process management skills
Excellent written and verbal communications skills
Experience with a prior focus in financial services analytics
Self-starter who also has a demonstrated ability to work successfully in team environment and drive

Education:
Bachelors/University degree or equivalent finance experience
Working at Citi is far more than just a job. A career with us means joining a family of more than 230,000 dedicated people from around the globe. At Citi, you’ll have the opportunity to grow your career, give back to your community and make a real impact.
Take the next step in your career, apply for this role at Citi today
https://jobs.citi.com/dei
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
-
Job Family Group:
Decision Management
-
Job Family:
Business Analysis
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Citi,,https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=ff987e3d72597715
"Senior Data Analyst, O&T Quality Assurance ","The O&T Chief Operating Office (O&T COO) is a driving factor in delivering value to our organization, our businesses, regulators, and stakeholders.
The O&T Quality Assurance (QA) in O&T’s COO function and is responsible to provide strong oversight, facilitate reviews and support Citi’s effective management of operational and technology risks. This role is reporting to the O&T Quality Assurance Innovation and Analytics Lead based in Singapore, responsible for the production and delivery of O&T QA tooling & reporting requirements. The ideal candidate for this role is a highly motivated, individual contributor who also works well in a global team and a diverse environment.
Key Responsibilities:
Source, check, produce and update Quality Assurance Book of Work from imperfect and disparate data sources on a recurring basis.
Create various dashboards to provide management with a view on current Book of Work, quality review progress, resourcing availability, etc.
Maintain in-house workflow management tool to ensure up-to-date data availability and suggest improvements to tooling.
Provide analytical expertise to support the implementation of various O&T QA processes (e.g. thematic analysis, analytical testing).
Support O&T QA Management Team to implement escalation criteria and practices to ensure issues and risks are escalated timely and reporting to senior management occurs appropriately, consistently and at the right levels.
Establish strong working relationships with stakeholders and management to enable smooth coordination of reporting activities.
Be proactive and self-motivated in driving quality and timely reporting end-to-end.
Contribute to continued improvement in O&T QA procedures and coverage through the delivery of quality QA Book of Work and reporting products
Assist O&T QA Innovation & Analytics Lead on day-to-day basis with ad-hoc requests/projects, review of O&T QA internal and external deliverables.
This is a global role and involves interaction with stakeholders across APAC, EMEA and NAM. Work timings accordingly will remain flexible.
This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.
Qualifications:
6-7 years of experience with hands-on responsibilities in reporting related processes. Financial services industry and/or risk and control experience is a plus, as is prior experience in quality assurance / control and monitoring processes.
Demonstrated success in providing timely, high-quality and insightful data analytics and reporting under tight deadlines and among multiple competing deliverables, with flexibility to prioritize workload accordingly.
Superior oral and written communication skills in English, and in particular ability to assess and contribute to the content of committee reporting and production of materials meant for ‘Board-level’ and senior management.
Intellectually curious, consistently evaluating “what is the data telling me?” and “why does it matter?""
Excellent data visualization skills to distill hard data points into easy to understand and insightful materials and communications for stakeholders to consume.
Advanced level of proficiency with MS Office suite (especially Excel and PowerPoint) is necessary.
Advanced level of proficiency with dashboard tools is necessary. Proven practical experience of implementations done in PowerBI and/or Tableau is advantageous.
Exposure to data analytics toolkits in Python or R is advantageous.
Knowledge and experience in front-end web development (Javascript libraries) is advantageous.
Knowledge and experience in SharePoint development (e.g. create & maintain Lists, interact with the REST API) is highly advantageous.
Education:
BS/BA degree or equivalent combination of education/experience (Computer Science, Information Systems, Data Analytics or Data Science preferred).
-
Job Family Group:
Risk Management
-
Job Family:
Business Risk & Control
-
Time Type:
Full time
-
Citi is an equal opportunity and affirmative action employer.
Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.
View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.
View the EEO Policy Statement.
View the Pay Transparency Posting",Citi,,https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=bba3e206ae2483ff
"IT Business Analyst
","Job Summary:
In this role, you will have an in-depth understanding of business processes, and define the use cases / user story for applications in Prudential Singapore. You will also develop acceptance criteria to provide assurance for quality of the applications releases. As part of this dynamic role, you will work closely with business units and other IT teams to deliver leading edge digital capabilities for Prudential Singapore.

Job Description:
Understand business process and define the business requirements in the form of use cases / user stories.
Design IT solutions together with relevant IT teams that will meet business requirements and timeline.
Deliver IT solutions in accordance to relevant IT policies and procedures.
Provide and share knowledge to other team members.

Who we are looking for:
Competencies & Personal Traits
Independent and works well across different functions.
Excellent problem analysis skill. Innovative and creative in developing solutions.
Excellent verbal and written communication skills.
Strong sense of drive and commitment to deliver on responsibilities.
Works well in a dynamic environment.
Ability and willingness to be hands-on.

Working Experience:
4-8 years in delivering IT applications.
Experience in Agile software development.

Education:
Bachelor degree

Language:
Fluent written and spoken English",PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,"$5,000 - $7,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=fa4e8df696516e20&advn=179800443906298
"#SGunited Jobs Business Analyst
","Responsibilities :
Re-engineer the end-to-end process, analyze, and review operational solutions.
Conduct requirement gathering workshops, review, and document requirement artifacts.
Review functional specifications and process defined documents.
Coordinate and ensure UAT test plans and test cases are executed within the UAT schedule.
Provide post-production support, review production issues, and track them to closure.
Collaborate closely with regional and country teams to ensure timely project delivery.
Requirements :
Must have experience working in the banking domain.
Minimum 3-5 years of experience in systems development and/or business process improvement initiatives, preferably with project lifecycle experience in the Financial Services Industry, specifically in Consumer Banking Operations and Corporate Banking Operations.
A hands-on team player who can see the big picture, possesses a can-do attitude, and can handle ambiguity in a fast-paced environment.
Strong interpersonal, coordination, and planning skills.
Proficient in understanding public web or customer-facing applications.
Skilled in utilizing tools like JIRA to document requirements effectively.
Capable of providing guidance to the Tech team regarding new requirements.
Effective in communicating with stakeholders from diverse backgrounds.
Capable of regularly updating management on the progress of these initiatives.",ITCAN PTE. LIMITED,"$5,500 - $6,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=5b545652c166ceb8&advn=179800443906298
"Business Analyst
","Roles & Responsibilities
At 7+ Academy, we’re proud to offer innovative products that meet the needs of our customers. To help us continue expanding our offerings, we’re in search of a Business Analyst to join our growing team in Singapore. This role will take charge of understanding and refining our business and operations.
Responsibilities:
using data modelling techniques to identify ways in which the company can operate more effectively.
communicate with senior management to find out what they hope to achieve.
formulate ways for businesses to improve, based on previous research and data analysis.
oversee the implementation of new technology and systems within the group.
understand how the company is doing, explore different solutions, their risks, benefits and impacts.
proposing solutions to senior management, and keeping them updated with progress.
creating documents to outline the proposed changes and the steps involved.
overseeing the implementation of new technology or a new approach.
contributing to training and support for people affected by new systems and processes.
Requirements:
Bilingual in English and Chinese.
Good education and first degree (Master's degree in Business is a plus).
Minimum 5 years experience in a business analyst role.
At least 3 years experience in a retail or related industry.
Commercial awareness and problem solving skills.
Good understanding of the China education system.
Highly motivated, good working attitude and strong sense of responsibility;
Experience in working in a multilingual and Chinese environment.
We offer an attractive package with excellent employee benefits, conducive working environment and career growth potential. Remuneration and benefits will commensurate with qualifications and experience.
Interested candidates are invited to apply online stating your current and expected salary and date of availability.",CHONG SIN INTERNATIONAL PTE. LTD.,"$6,000 - $8,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=91d4e26c0e81a979
"Business Analyst |Up to $9500 |East
","Company’s Profile
Julian Grey’s client is a solution provider for security and enterprise applications.

Responsibilities
Supports mapping and reviewing existing business processes for cost savings, quality improvements, increased efficiencies, and reduced risks.
Evaluates the viability and feasibility of solutions to enhance business processes.
Elicits and analyzes business and information requirements, translating them into analytic and reporting specifications.
Assists in developing business cases, defining benefits, solutions, and associated risks.
Collaborates with stakeholders on User Acceptance Testing.
Recommends, identifies, and gathers data from internal systems and external sources, ensuring data quality.
Mines data to identify trends, patterns, and correlations, designing reports using visualization tools.
Supports change management plans, develops technical documentation, and conducts user training.
Requirements
At least 3 years of relevant working experience
Holds a Bachelor's Degree in Business Analytics or equivalent
Proficient in business needs analysis, including gap analysis and capability analysis.
Experienced in business process re-engineering with knowledge of Lean Six Sigma and Agile Methodology.
Skilled in data engineering, analysis, and visualization using tools like SQL, Python, Tableau, Qlikview.
Competent in software testing.
Follow us for more updates, interview tips!
https://www.instagram.com/juliangreygroup/
https://www.linkedin.com/company/juliangreygroup/
https://www.facebook.com/juliangreygroup/
Our telegram channel for job opportunities - https://t.me/jobopportunitiessg

Interested Applicants
Please WA Bryan Tay @ 97559161
Shortlisted Candidates will be notified

Bryan Tay Reg No. R23112463
Julian Grey Corporate Advisory Pte. Ltd.
EA License No: 19C9568",JULIAN GREY CORPORATE ADVISORY PTE. LTD.,"$7,000 - $9,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=c24a533349f4c68d&advn=179800443906298
"Business System Analyst
","Key Responsibilities
Candidates are expected to:-
Understand business function and analyse users requirements, make a clear scope of project, requirement and build consensus with users
Lead in analysis and scoping of data sourcing and functional requirements/ enhancements, functional/application design, functional specifications, discuss and obtain users agreements
Preparation of Functional, Non Functional & other documents required in compliance to SDM and procure sign off from Users
Prepare SIT test schedule and develop test cases and conduct SIT testing
Arrange with users to conduct User Acceptance Test and arrange with development team to prepare necessary test environment and support functional testing
To ensure the design & build is in line with the standard and all deviations are clearly articulated and agreed. The scope should be from sourcing from upstream till the final report generation
Review the code to ensure it does not break / Lead to performance issue
Prepare necessary documents to facilitate and deliver the project (Release checklist, UAT results, etc.)

Key Requirements
The candidate must have 10+ years working experience
Relevant experience in a Financial Institution as a functional analyst (with banking products like loans, trade finance ) with strong sql scripting capability.
Good understanding in SDLC phases
Capability in requirement analysis and functional design skills
Capability of self-learning and a quick learner
Be adaptable, flexible and be able to thrive in a challenging, fast-paced of a growing organization / environment
Experience with project management best practices/ methodologies/ project lifecycle
Ability to develop and maintain productive working relationships with colleagues in distributed
global locations
Strong knowledge on MS SQL developer and advanced knowledge in writing complex sql queries",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"$6,500 - $10,500 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=afd88d5fb8200d72&advn=179800443906298
"Actimize System Analyst JR(TBC)
","Find Your Dream Job With Us
WE ARE HIRING !! Apply now and make a difference.
Job Title : Actimize System Analyst
Job Requisition Number: JR(TBC)
Job Level: 6 - 9 years of relevant experience (L3)
Location : Singapore
Key Skills : Shell Script, Oracle SQL, Control-M, System Diagram
Job Objectives:
To support AML Actimize TM L3 support for Singapore and Regional entities
Key Responsibilities
Supporting AML Actimize L3 support for Transaction Monitoring system
Liaise with application teams across group and countries build the fixes or possibly enhancements according to the technical solution plan
Analyse user requirements and convert requirements to design document and other system documentation to capture key design decisions
Plan technical deliverables, perform development works to meet project’s requirements within schedule
Perform data mapping and process mapping with interfacing applications
Escalate issues that impacts project schedule on timely basis and propose workarounds/resolutions
Create technical documents for the solutions. Compile timely, comprehensive, and accurate documentation as requested
Test, maintain and recommend software improvements to ensure strong functionality and optimization
Work with production support team members to conduct root cause analysis of issues, review new and existing code and/or perform unit testing
Partner with Test Management teams to ensure completion of SIT, UAT, performance / load testing and application security testing with quality result
Liaise with other application teams and business users to prepare test cases and test data prior to testing in UAT and Mock Run environment
Manage project change request approval windows and deployment schedule
Facilitate and provide technical and testing support before and after production deployment
Liaise with other units across IT and Business in the organization
Manage external vendors for project delivery within schedule
Key Requirements
Must Have
At least 10 years of working experience in IT industry
At least 6 years of experience working with Actimize AML technology solution.
At least 6 years of experience / knowledge in Unix Shell Scripting, Oracle, Java, and Python
At least 6 years of experience in application and database design and UI/UX design
At least 2 years of experience in business analysis, data mapping and process mapping
Ability to multitask effectively and handle large amounts of data
Highly driven, pro-active and a strong team player
Excellent interpersonal skills and written and verbal communication skills in English.
Good to Have
Experience in Hadoop ecosystem and technologies.
Experience in NoSQL database or Big Data
Experience in Control-M, Git, Jenkins, JIRA, Aldon
Experience in SharePoint and Confluence
Please forward your resume in MS word format to Careers@infogainglobal.com and Suganthi@infogainglobal.com
Please refer your friends for any IT openings as we have various positions.
Please do not send PDF Format Resume . Send the following details
1. Notice period
2. Current Salary
3. Expected Salary
4. Visa Status in Singapore",INFOGAIN SOLUTIONS PTE. LIMITED,"$8,000 - $10,100 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=07b5cc9357b60a99&advn=179800443906298
"Product Analyst: IMOS platform
","Company
Snaphunt Pte Ltd
snaphunt.com
Designation
Product Analyst: IMOS platform
Date Listed
23 Apr 2024
Job Type
Entry Level / Junior Executive
Full/Perm
Job Period
Immediate Start, Permanent
Profession
Banking / Finance
Industry
Others
Location Name
Singapore
Allowance / Remuneration
$5,000 - 6,000 monthly
Company Profile
Our client is seeking a Product Analyst focusing on the maritime domain within the metals mining and trading industry
Job Description
A role that offers a breadth of learning opportunities
Attractive Salary & Benefits
Flexible working options
The Job
Support in converting maritime-specific business requirements into functional specifications, ensuring that these are clearly communicated and understood by the technical team.
Play an active role in agile project teams, contributing to sprint planning sessions with a focus on business goals and priorities.
Conduct sessions for process mapping, ensuring a comprehensive understanding of operational flows and identifying overlaps and synergies across different business functions.
Link immediate operational needs with long-term strategic plans, working closely with Product Managers, Product Owners, and Delivery team.
Collaborate with QA testers and developers to ensure the delivery of high-quality solutions.
Establish and maintain effective relationships with business stakeholders, managing their requirements, operational issues, and queries.
Ideal Candidate
You have at least 1 year experience including solid experience in a similar role within Industrial, Utilities and Aviation, Transport & Logistics.
You possess strong analytical skills and are comfortable dealing with numerical data
You enjoy finding creative solutions to problems
You are a strong team player who can manage multiple stakeholders
Ref: 06XBV8H4Q8
Application Instructions
Apply this role at https://snaphunt.com/jobs/06XBV8H4Q8

Agent Note This position is posted on behalf of a client by a third party agent.",Snaphunt Pte Ltd,"$5,000 - $6,000 a month ",https://sg.indeed.com/jobs?q=business+analyst&l=Singapore&sort=date&start=0&vjk=db1dd92b8890c685
