job title,description,company,salary range,url
"Manager, SIT Teaching and Learning Academy (Data Analytics)",-,Singapore Institute of Technology,,https://www.jobstreet.com.sg/job/75375824
"Senior/ Analyst, Data Science, Group Finance Analytics (Contract)","You will champion the development of new data science techniques, methodologies and delivery of analytics projects.",Singapore Health Services Pte Ltd (SingHealth HQ),,https://www.jobstreet.com.sg/job/75386609
"Senior Data Analyst, O&T Quality Assurance - Innovation and Analytics (AVP/C12)","The O&T Quality Assurance (QA) in O&T s COO function and is responsible to provide strong oversight, facilitate reviews and support Citi s effectiv...",Citibank N.A.,,https://www.jobstreet.com.sg/job/75367548
"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75321199
"Manager, Group Care Plan Operations, Data Analytics & Insights(6318)",-,NUHS Group Ops & IT,,https://www.jobstreet.com.sg/job/75339613
Lecturer/Diploma in Big Data & Analytics,"Lecturer in School of Informatics & IT (Diploma in Big Data & Analytics)
[What you will be working on]
  Conduct lessons and carry out all relevant...",Public Service Division,,https://www.jobstreet.com.sg/job/75380977
"Intern, Data Analytics, Disney+ - Jul to Dec 2024","The Data Analytics Intern supports the teams in all analytics functions behind all user growth initiatives and help monitor and optimize program, c...",The Walt Disney Company (APAC),,https://www.jobstreet.com.sg/job/75368539
"Principal Analyst, Group Finance Analytics","You will provide technical advisory to the analysts, establishing data analytics support.",Singapore Health Services Pte Ltd (SingHealth HQ),,https://www.jobstreet.com.sg/job/75386522
Data Analyst,"Unleash insights as a Data Analyst! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,,https://www.jobstreet.com.sg/job/75340009
Business Risk Specialist  Data Analytics & Sampling - Singapore,You'll be working in the Wealth Management Asia Pacific (WM APAC) Regional Business Risk Organization Control Framework Team. We support the WM APAC,Hays Specialist Recruitment Pte Ltd,$5000.0 - $10000.0 per month + Attractive salary & care,https://www.jobstreet.com.sg/job/75344816
Information Technology - Senior Data Engineer (Analytics Engineering Track),"We have multiple senior data engineering positions available. The Data Analytics Engineer is responsible for designing and developing robust, scala...",Singapore Airlines,,https://www.jobstreet.com.sg/job/75302666
Data Analyst,"4e Exchange, a leading financial derivatives trading platform, is seeking a Senior Data Analyst to join our team. As a global leader in the financi...",4e,,https://www.jobstreet.com.sg/job/75367936
Data Analyst,"Job Description: As a Data Analyst, you will play a crucial role in leveraging data to drive business insights and decision-making. Your primary re...",JCO ANALYTICS PTE. LTD.,,https://www.jobstreet.com.sg/job/75332524
Data Analyst (Phillip Nova),"Proficiency in data manipulation and analysis tools. Strong data visualization skills using tools such as Tableau, Power BI, or others.",Phillip Nova Pte Ltd,,https://www.jobstreet.com.sg/job/75354759
HR Dashboard & Analytics Executive | Up to $3500 | 6 months,-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",https://www.jobstreet.com.sg/job/75355995
"Senior VP, Lead TDM, Platform Engineering, Data Analytics Technology",-,United Overseas Bank Limited (UOB),,https://www.jobstreet.com.sg/job/75383958
"VP, Financial Strategy (Data Analytics, Programming), Group Finance",We support enhanced decision-making to achieve optimal and sustainable financial outcomes for our shareholders. We are responsible for providing in...,United Overseas Bank Limited (UOB),,https://www.jobstreet.com.sg/job/75329590
Data Analyst,You will be given good learning exposure.,Methodist Welfare Services,,https://www.jobstreet.com.sg/job/75319768
"Data Analytics Intern - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75246968
"Data Analyst Intern - Regional Marketing Analytics, Regional Brand & Growth Mark",-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75230897
"Data Analytics Lead, Regional Business Intelligence & Planning",--,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75252891
Data Analytics Audit Specialist,"Develop and implement data analytics strategies to enhance audit procedures and methodologies, incorporating emerging technologies and best practic...",Central Provident Fund Board,,https://www.jobstreet.com.sg/job/75239580
Manager / Assistant Senior Manager (Data Analytics),"As a data analyst in our Internal Audit Team, you are involved in the design and performance of data analytics tests to support OIA s continuous mo...",Yale-NUS College,,https://www.jobstreet.com.sg/job/75367912
HR Dashboard & Analytics Executive | Up to $3500 | 6 months (renewable),-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",https://www.jobstreet.com.sg/job/75328756
Strategy and Operations Data Analytics Intern - Shopee Xpress Last Mile,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform...",SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75272900
Analytics Developer/Data Engineer,"2. What we are looking for
  Good understanding and completion of projects using waterfall/Agile methodology.
  Strong SQL, data modelling and data...",PHOENIX SOLUTIONS (S) PTE. LTD.,,https://www.jobstreet.com.sg/job/75227200
Administrator (Data Analytics),"Interested to explore into Data Analytics function
Organized and meticulous to assist team on administration",IHH Healthcare,,https://www.jobstreet.com.sg/job/75207576
"Manager, Marketing Data Analyst (6412)",-,Changi Airport Group (Singapore) Pte. Ltd.,,https://www.jobstreet.com.sg/job/75383926
Data Analyst - ShopeePay,-,SHOPEE SINGAPORE PRIVATE LIMITED,,https://www.jobstreet.com.sg/job/75308328
Data Scientist,"As a Data Scientist, you will be at the forefront of our data analytics efforts, working closely with cross-functional teams to develop and deploy ...",CPO PTE. LTD.,,https://www.jobstreet.com.sg/job/75318241
Data Scientist and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,,https://www.jobstreet.com.sg/job/75226861
"HR Dashboard & Analytics Executive (6 months) | Up $3,500","Executive (HR Dashboard and Analytics)	
Chinatown
6 months (w option to extend)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",https://www.jobstreet.com.sg/job/75328324
Internship - Data Analytics (BE Industrial Engineering),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75191422
Data Architect Analyst (6 months internship),-,"Mizuho Bank, Ltd",,https://www.jobstreet.com.sg/job/75341640
"Internship - ATV Supply Chain Planner, Data Analytics","Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,,https://www.jobstreet.com.sg/job/75191095
Data Analyst,"Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.
Job Requirements:
Degree in Computer ...",D L Resources Pte Ltd,,https://www.jobstreet.com.sg/job/75206179
Data Analyst,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology...",D L Resources Pte Ltd,,https://www.jobstreet.com.sg/job/75203101
