job title,description,company,salary range,url
Machine Learning Engineer Intern - Summer '24," 👉 Full-Time Internship - Minimum 3-6 Months - Summer '24 Cohort - Read the Post At Datature, we are building a platform for training and deploying machine learning models swiftly without a single line of code. Datature Nexus is an MLOps platform that allows users to label unstructured data and construct complex machine learning pipelines all in their browsers using highly visual editors. Datature's users have leveraged our platform to solve problems in a myriad of verticals - from grading crops to optimizing manufacturing to MLB Teams, to identifying diseases from MRI scans. Datature levels the playing field for teams and companies in antiquated industries to start AI-driven revolutions of their own. The Scope Datature's platform features a drag-and-drop visual editor that translates to thousands of lines of TensorFlow codes in the backend. This requires a handful of services to work together seamlessly. You will develop components to solve real-time problems with machine learning, data ingestion, and computer vision. You will be working on problems at the intersection of large data transfers, object detection, transfer learning, and active learning. About You Some experience using TensorFlow (Not Keras), PyTorch, or JAX Fluent in Python and at least one system programming language (C, C++, Rust) Interest in Computer Vision, Deep Neural Networks, and Scene Understanding Algorithms Exposure to working with Relational and No-SQL Databases Some knowledge of Google Cloud Platform and Linux/Bash Knowledge in Transfer Learning Mechanisms, Hyperparameter Tuning (Optuna, Hyperopt), and Object Detection Exposure to building your Instance Segmentation / Object Detection Models Coursework and proficiency in Linear Algebra , Computer Vision, or Computational Geometry An ability to explain what Gradient Taping is <3 Minimum Requirements You don’t need a Computer Science degree to write great software. We are looking for hackers and enthusiasts who have participated in hackathons / competitive programming / open-source development. Your coding projects outside of school curriculums matter more than your grades - we'd love to discuss your most passionate projects rather than a list of curriculum-mandated projects. Who We Are Looking For 📍 You are a reliability-minded engineer passionate about uptime and data integrity. You have experience scaling both teams and projects in similar spaces. Above all, you are passionate about data, machine learning, and user experience. You understand the tradeoffs with each line of code and have an idea of what the various priorities are with each project. Why You'll Love Us 🎈 We are a technology-first team dedicated to developing the most intuitive and performant platform to shape the way users think about building machine learning capabilities. We are a quirky group of engineers whom you will enjoy debating about codes and algorithms with. Gone are the days when you have to build yet another internal monitoring tool for a team that doesn't appreciate the performance. You will be solving the most important problems at the intersection of machine learning, data processing, and distributed systems. You will have the largest impact on how our users interact with the Datature platform via API and the experience they have whilst doing so - and you care about the P95 Perf. If this is your cup of tea, we have been waiting to hear from you. ",Datature,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3883819689
Machine Learning Engineer Intern (Core Feed Recommendation) - 2024 Start," Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the Team TikTok Core Feed Recommendation team sits in the center of TikTok, designs, implements and improves the core recommendation algorithm that powers the ""for you"" feed, ""following"" feed, etc. of the TikTok app. The recommendation system we built connects hundreds of millions of users with relevant content out of billions of videos in real-time, and inspires high-quality content creation for millions of creators on the platform. The team is at the intersection of cutting-edge machine learning research and large-scale end-to-end production systems. We take pride in finding the right balance between solid applied research, elegant system design and being pragmatic. We have a strong user focus and a dedication to technical excellence. We are looking for talented individuals to join us for an internship in 2024. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Successful candidates must be able to commit to the following internship cycle below: - 1. Summer Internship - 06 May 2024 to 26 July 2024 (12 weeks) 2. Off cycle / Credit bearing - Starting 08 January 2024 We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date). Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Responsibilities - Improve recommendation models at massive scales, through applying state-of-art machine learning techniques across all ranking phases including but not limited to retrieval, ranking, re-ranking and etc. - Conduct cutting-edge application-driven research to explore the frontier of recommendation algorithmic domain. Develop industry leading recommendation system. - Work cross functionally with product managers, data scientists and product engineers to understand insights, formulate problems, design and refine machine learning algorithms, and communicate results to peers and leaders. - Improve the experience of diverse cultural groups and people with various preferences around the world by optimizing every aspect of the recommendation system. - Run regular A/B tests, perform analysis and iterate algorithms accordingly. Qualifications 1. Solid programming foundation, good programming style, solid knowledge of data structures and algorithms. 2. Has strong theoretical foundation and extensive practical experience in the field of machine learning/deep learning , familiar with at least one mainstream deep learning framework. 3. Has exceptional ability to analyze and solve problems, passionate about solving challenging problems; good at communication, proactive at work, has a strong sense of responsibility, and possess good teamwork skills. Preferred Qualifications 1. Published papers in the top AI conferences or journals is a plus, including KDD, IJCAI, WWW, WSDM, ICML, NeurIPS, CVPR, ECCV, ICCV, ACL, etc.; 2. Competition experience in machine learning, data mining, or ACM-ICPC/NOI/IOI competitions TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com. ",TikTok,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3776577476
"AI-Augmented Software Developer, gt.school (Remote) - $200,000/year USD"," Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, gt.school. Have you got what it takes? Are you a seasoned software engineer with a deep interest in AI? Trilogy is on the lookout for exceptional engineers to lead the charge in adopting generative AI tools both in our development process and into our products. Join us to work on our exciting product portfolio: TeachTap: Bringing historical figures to life using AI, offering an engaging, TikTok-like learning experience to make learning more relevant and fun. Educational Content Generation: Utilizing the latest in generative AI combined with comprehensive learning materials to create captivating content. TeachTower: A game-based motivation system inspired by popular games like Roblox and Minecraft, designed to make learning irresistibly fun. Coachbot: A learning copilot that integrates with existing apps, guiding learning paths, recommending next steps, and rewarding daily progress. Your role will focus on integrating AI into engineering practices, using AI tools to increase efficiency and solve engineering tasks like coding and testing. Based on the obtained results, you will derive recipes and playbooks to be adopted by the broader engineering team. Maintaining high-quality standards in our codebases while ensuring high leverage of AI tools across our engineering teams will be a key part of your work. You will be an integral part of our existing engineering team, working collaboratively on our suite of products to deeply understand our environment and needs. You will have the freedom to propose and experiment with new tools and then will leverage the insights and experiences obtained to evolve our processes, advocate for new tool adoption, or even spearhead the creation of small tools, bots, and frameworks to enhance our technical setup. We seek candidates with a strong background in software engineering and a capacity for adapting to new technologies. Moreover, an interest in the latest generative AI developments and a drive for innovation are crucial. While our primary tech stack is AWS Serverless with TypeScript, we're looking for versatile engineers who can excel in a variety of technical environments and challenges. What You Will Be Doing Developing fully functional features, using AI tools to expedite delivery and enhance quality. Performing experiments with AI to enhance engineering processes, including decomposition, solution design, code generation, and troubleshooting. Documenting best practices and techniques in guides that enable others to harness the power of generative AI effectively. What You Won’t Be Doing Building new AI models from scratch; instead, your focus will be on leveraging and fine-tuning existing models to maximize efficiency. Being confined to outdated technologies; we encourage an environment that thrives on dynamic tech stacks, fostering continuous innovation. AI-Augmented Software Developer Key Responsibilities Drive transformative change by establishing a framework that seamlessly integrates generative AI, significantly amplifying engineering productivity. Basic Requirements Minimum 5 years of experience in professional software development. Minimum 3 years either as a lead engineer reviewing the work of other engineers or as an architect making important technical decisions. Excited to use and explore new generative AI tools for software engineering tasks on a day-to-day basis About Gt.school GT School is an EdTech Startup that leverages technology, AI, and subject matter experts to cultivate a new way of learning. Our unique approach leverages 50+ years of learning science, cutting-edge data analytics and high-performance coaching. In doing so, we can help students learn more, learn faster, and learn better - and have fun while doing it. We are a remote-first company that hires globally via Crossover. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $100 USD/hour, which equates to $200,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application. Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again. Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well. Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked. If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-5106-SG-Singapor-AIAugmentedSof.026 ",Crossover ,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3908030852
AI application developer," Responsibilities Design and develop software applications utilizing artificial intelligence to address specific business challenges. Work closely with AI/ML engineers and data scientists to integrate AI capabilities into user-friendly applications. Develop and maintain AI-driven applications. Collaborate with AI/ML engineers to integrate machine learning models into applications. Ensure high performance and responsiveness of applications. Conduct testing and debugging of AI applications. Document application development processes for future reference and compliance Qualifications Bachelor’s degree in computer science/ information technology or equivalent Minimum 3 years of experience in AI Engineer Strong programming skills in languages such as Python, Java, or C#. Experience with AI frameworks and tools (e.g., TensorFlow, PyTorch). Understanding of user interface design and development. Knowledge of data preprocessing and feature engineering techniques. Excellent communication skills and the ability to work as part of a team. ",Beyondsoft Singapore,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3905161563
Salesforce Developer," Hiring for a Well known IT Services & Consulting Organization, based in Singapore. Job Description: You will work alongside their fellow Salesforce team to understand and proactively monitor all aspects of the configuration. Where applicable and necessary, she/he will collaborate with internal/external Salesforce Architects/ Integrators solutions and/or other internal data/technical associates when the complexity of identified solutions warrants it. Responsibilities: • Experience working with OmniStudio-specific components. • Create wireframes and mockups to outline the visual layout and flow of OmniStudio interactions. • Design intuitive navigation structures for OmniScripts, ensuring users are guided logically through processes. • Apply design principles and best practices for optimal usability across web and mobile interfaces. • OmniStudio skillsets in the following areas: 1. OmniScripts: o Build step-by-step sequences using branching logic and conditional actions. o Design dynamic forms that adapt to user input and business rules. o Integrate with external systems using Integration Procedures or custom Apex code. 2. FlexCards: o Configure layouts and content for visually rich, informative displays. o Incorporate actions and buttons to trigger OmniScript processes or external calls. o Customize appearance to match brand guidelines. 3. Integration Procedures: o Develop REST API calls to retrieve or push data to systems outside of Salesforce. o Design complex data transformations and mappings when connecting systems. 4. DataRaptors: o Use DataRaptor Extract to fetch data from Salesforce objects or external sources. o Employ DataRaptor Transform to manipulate and shape data structures for optimal use in FlexCards and OmniScripts 5. Decision Tables: o Define rule sets and conditions to drive personalized actions and content within OmniStudio components. Requirements: Successful candidate will work with key stakeholders to execute configuration & development changes derived from specific initiatives or resulting from Salesforce platform releases/upgrades. • 3-10 years’ experience in Salesforce implementation • Effective in Customer/Client interaction. • Good problem-solving skills. • Good Communication skills both written and verbal. • Omni Studio certifications is a plus. ",Exasoft,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3910718519
"Senior Research Engineer, Symbolic AI (1-year contract), CCLAW"," Company Description Singapore Management University is a place where high-level professionalism blends together with a healthy informality. The 'family-like' atmosphere among the SMU community fosters a culture where employees work, plan, organise and play together building a strong collegiality and morale within the university. Our commitment to attract and retain talent is ongoing. We offer attractive benefits and welfare, competitive compensation packages, and generous professional development opportunities all to meet the work-life needs of our staff. No wonder, then, that SMU continues to be given numerous awards and recognition for its human resource excellence. Responsibilities Work done will be at the direction of the PI, and where relevant, the Industry Director and Centre Director.As the Programme is interdisciplinary and multidisciplinary by nature, you will be expected to convey yourdomain expertise and edify others (and vice versa) in as productive, constructive, and collaborative a manneras possible. You may be asked to participate in the development of use cases and delivery of proof-of-concept prototypesfor government and industry partners in the areas of computable contracts and ""rules as code"". Experience inrequirements analysis and agile, iterative methodologies will be useful at this stage.The work of the team will be largely determined by these use cases and customers. We will work with multipleuse cases so that we can abstract across them and develop generalized, reusable infrastructure. We will workwith specific customers so we can build useful applications on top of that infrastructure.You will contribute to the design and development of open-source software written to serve those use cases.You will work as part of a team of research engineers, developers, and domain expertise and you will beexpected to actively participate in team meetings and text-based communications. You will be expected to beactive members of the applied research community, by validating and contributing to advances incomputational law. You may be asked to conduct use-inspired research at the direction of the Principal Investigator. This includes reading academic papers, standards publications, and related material such as blog posts andpresentations; coming up to speed in fields which may be new to you, such as computational linguistics, mathematicallogic, programming language design, formal verification, and model-based architecture; reading (and updating/commenting, relevant) existing software documentation; creating presentations, video recordings, walkthroughs, etc. to document and explain research work done; writing (and presenting, if so decided by the PI) academic papers and materials for publication; and documenting in a sufficiently-detailed manner so as to share what you've learned. You will be expected to participate in software development; this includes learning how to use third party tools, including editors, IDEs, databases, business process modelingsoftware, programming languages, and libraries; evaluating competing software systems for suitability; building infrastructure to enable application development managing yourself, and managing fellow team members; engaging in product, project, and program management as needed reading books and consuming such other media forms about software development; writing documentation such as user/developer-facing manuals, tutorials; delivering community support to users and customers; preparing presentations to represent the project before external audiences; and writing actual user-facing applications throughout the ""full stack"",in each case, documenting, reporting, and/or presenting the same in clearly and efficiently, both internally andexternally. Qualifications Researchers under the Programme should possess both mastery of their academic speciality, anddemonstrated practical experience producing and supporting high-quality open-source code throughcommunity engagement across multiple media. Candidates must have Bachelor's, Master's, Ph.D., oralternative qualifications in computer science, software engineering, (symbolic) artificial intelligence,computational linguistics, or formal methods. Fluency in multiple natural languages, and any experience with law, are a plus. This specialist role requires skills in the following areas (one or two in each category is sufficient): Open-Source Software & Open-Standard Infrastructure Engineering Internet Unix TCP/IP HTTP(S) XML JSON Schemas YAML Git Github Technical Writing Developer Relations and Evangelism Programming Languages and Frameworks: Preferred: Haskell or OCaml. Python. Possible alternatives: Common Lisp Racket Scheme Javascript / Typescript / Node. Formalization of Contracts, Rules, and Business Logic: Akoma Ntoso LegalRuleML Petri Nets Drools iLog OPA Neota Logic Constraint Handling Rules ICAIL JURIX RuleML+RR Semantic Web and Ontologies: RDFa RDFt RDF RIF SWRL OWL Cyc KBpedia SUMO UFO Protg or a commercial rules engine with ontology support Model Driven Architecture: UML BPMN DMN OCL SBVR Statecharts Activity Diagrams Parnas Tables Logics: Hoare Logic Kripke structures Modal mu-calculus Dynamic Logic Deontic, Temporal, and Epistemic modals Situation Calculus Process Calculi Multivalent logics Defeasible Logic BDI Abductive Logic F-Logic Intuitionistic Non-monotonic Logics Skolemization Well-Founded Semantics Good Old-Fashioned Artificial Intelligence and Semantic Web Knowledge Representation and Reasoning: Lisp Prolog F-Logic Drools Oracle Policy Manager Flora-2 Datalog Answer-Set Programming Defeasible Logic Expert Systems DocAssemble lps.doc.ic.ac.uk Skills listed below this line are preferred but not required: Theorem Proving and Strongly Typed Languages: CoQ Agda Idris Lean Prover F* Advanced Haskell (Template etc) OCaml Elm Isabelle/HOL StrangeLoop Pony Model Checkers and SAT/SMT solvers: Z3 PAT SMTlib NuSMV SPIN Sentient IDEs, Language Workbenches, and PLT frameworks: K Framework JetBrains MPS IDEs (Vim, Emacs, Visual Studio Code, Atom, Sublime Text) Language Server Protocol Rule Systems and Logics Computational Linguistics Natural Language Generation Computational Semantics (in Haskell, Prolog, or Lisp) Montague Semantics Grammatical Framework Text planning Surface realization Familiarity with: WordNet FrameNet SenseNet Controlled Natural Languages Attempto Controlled English ACErules Parsers, Compilers, and Programming Language Theory Lex/YACC alex/happy Bison CFGs EBNF BNFC Formal Verification and Specification Languages Some familiarity with any of: TLA+ Alloy IVy B Method Z notation VDM++ LTL CTL App Development Test-Driven Development Continuous Integration Software Project Management Agile / XP / Scrum Pair Programming Literate Programming Unit Testing Amazon Web Services Docker Full-Stack Development ",Singapore Management University,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3876047030
Machine Learning Engineer Intern (Recommendation System)- 2024 Start," Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the TikTok Data Team Our TikTok team is responsible for developing state-of-the-art machine learning models and strategies to improve user consumption experience, inspire creativity, build a fair and flourishing ecosystem. We are looking for talented individuals to join us for an internship in 2024. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Successful candidates must be able to commit to the following internship cycle below: - 1. Summer Internship - 06 May 2024 to 26 July 2024 (12 weeks) 2. Off cycle / Credit bearing - Starting 08 January 2024 We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date). Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Responsibilities 1. Participate in the recommendation algorithm of the livestreaming business and make contributions to a world-class large scale recommendation system 2. Optimize the core algorithms and strategies (recall, coarse ranking, fine ranking, mixed ranking, diversity, etc.) through modeling technologies including deep learning, representation learning, multi-task learning, causal inference, and sequence modeling. Ensure every user finds relevant creators and enjoys the fun of livestreaming. 3. Continuously improve recommendation technology with deep understanding of the ecological roles of users, creators, platforms,  drive healthy growth in user experience, creator growth, platform revenue, and create a virtuous cycle of livestream ecosystem 4. Work closely with the product and operations team, excel in technological innovation with deep integration of business characteristics, and help achieve long-term and short-term business development goals. Qualifications 1. Solid programming foundation, good programming style and work habits, solid knowledge of data structures and algorithms. 2. Has strong theoretical foundation and extensive practical experience in the field of machine learning/deep learning , familiar with at least one mainstream deep learning framework. 3. Has exceptional ability to analyze and solve problems, passionate about solving challenging problems; good at communication, proactive at work, has a strong sense of responsibility, and possess good teamwork skills. 4. Priority will be given to individuals who have published papers at top conferences, won competitions such as ACM/machine learning, or have experience in core algorithm businesses such as large-scale recommendation systems, computational advertising, and search engines. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com. ",TikTok,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3727667827
AI Engineer," Job Description This is a contract-to-hire position*** About Us Mozaic is developing AI powered strategies for the cryptocurrency industry. We’re building a seamless and inclusive DeFi application with the goal of spreading crypto adoption worldwide. We want to make participating in the DeFi market a seamless experience for both crypto native and new users. If you are passionate about crypto - Mozaic is the place for you. In pursuit of building the most trusted AI in crypto, we’re building a range of products that make DeFi accessible for not only native crypto users, but everyday people as well. We are already partnered with some of the top AI and ML experts and will be launching our first product in Q2 of this year. Following launch, we’ll be aggressively expanding our suite of products to enable our users to get the most out of the ecosystem. The Role We are looking for someone who is able to quickly adapt to a new team environment and begin developing and assisting with AI/ML data and models to automate yield bearing strategies for crypto assets. We have successfully demonstrated the edge of our AI algorithm, boasting a 9% competitive edge over active portfolio management strategies by optimizing staking, lending and price-action trading. Based on this initial momentum, our priority lies in expanding our AI/ML team to expand and optimize the applications of our algorithm as quickly as possible. Responsibilities Developing and assisting with AI/ML models that predict and automate yield bearing strategies for crypto assets including (but not limited to): Staking, lending, borrowing and liquidity provider (LP) strategies. Data extraction of specific DeFi data (e.g. APY, APR) from multiple blockchains Build data models and visualizations of public blockchain data and modeling results that provide intuitive analytics Working with beta users to test and resolve bugs. Drive engineering implementation Track, identify and lead the fixing of performance issues Requirements Be familiar with minimal, yet deep fundamentals of NLP and generative modeling Not be an if-then old ML engineer or a copy-and-paste programmer, A degree in Mathematics, Statistics, Economics, Physics, Computer Science, and/or PhD preferred Strong problem solving skills Comfortable architecting testable code Ability to work in a cross-functional team which touches many parts of core systems at Mozaic Proficiency in BigQuery, with a preference for TensorFlow and Python. Hands-on experience with cloud platforms like AWS or GCP. Strong mathematical background. Demonstrated expertise in data analysis, visualization, and exploratory data analysis (EDA) utilizing tools such as pandas, NumPy, and Matplotlib. These Qualifications Are A Plus A deep understanding of and passion for Crypto Currency and DeFi Ability to communicate with Engineers in both English and Chinese Experience with trading terminology Compensation And Benefits The Mozaic culture is about ownership so the more you take on the more you make. Otherwise, we keep compensation simple... Remote Working (Work from anywhere in the world, no timezone restrictions) A competitive salary Additional Token Allocations Performance Based Bonus Flexible Schedule: Work when you want, as long as you finish work on time, find time for necessary collaboration efforts and set teammates up for success. $400 Per month to spend on health care as you see fit A $500 stipend per year to spend on your own equipment. $100 per month to assist with operating expenses such as co-working spaces or anything you need to purchase to do your job the best you can! A company culture that values its employees and wants to see you progress and grow as the company grows. Deliverables Review and understand current infrastructure Work alongside security firm to set up best practices Deploy omnichain vaults that utilize Layerzero messaging Collaborate with AI team for on-chain vault management with offchain models Create Relic incentivization contract ",Braintrust,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3903501263
Software Engineering Intern (May - Aug 2024)," What The Role Is Learn how to build production-grade software that solves real-life business challenges Learn to work in a multidisciplinary team Learn how to execute with agility in the context of a large organisation Get an opportunity to interact with and present to senior management About The Team Business Incubater & Accelerator Team (BIA) BIA supports the generation of innovative product concepts and business strategies through proficient cross-functional teams. The team also introduces essential components into the technology framework, enabling seamless operation and scalability for existing products and business models. Additionally, the team conducts enterprise upskilling initiatives to enhance operational intelligence and efficiency of the systems in CPF Board. What You Will Be Working On Play a key role in the CPF Frontier Products Team, a new team focused on developing software products using cloud-native technologies Contribute to one of our many products and initiatives that aim to make CPF Board and whole of government work better Work on a modern tech stack (nodeJS, NextJS, Python etc) Get hands-on experience with AWS and Azure Dabble with Artificial Intelligence/Machine Learning and large language models – a key part of one of our products. Work in a cross disciplinary team with UIUX designers and Product Managers What We Are Looking For Some experience building applications Prior experience with Python and Javascript useful but not necessary Cloud experience useful but not necessary Ability to switch modes between working independently and as a team Minimum 3-month stint ",CPF Board,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3889132367
Artificial Intelligence (AI) Application Developer - DBSG," Company Description Beyondsoft International (Singapore) Pte. Ltd. was set up in 2007 and established as the regional headquarters for the Southeast Asia (SEA) and European markets in September 2015. Based on our vision of ""Using technology to promote social progress, economic development and become a global customer preferred partner"" and our concept of ""Beyond your expectations"", Beyondsoft is committed to provide our customers in countries along the ""Belt and Road"" with comprehensive solutions and products and creating commercial value for customers to realizing continuous businesses development. Our Core Business Includes IT development services providing customers with IT consulting, software research and development, software and hardware testing, system integration and operation and maintenance, data analysis and other services; New retail solutions and products through intelligent products, helping small and medium-sized enterprises (SMEs) realize the digital transformation of their daily operations; Internet of Things (IoT) platform and solutions comprehensive use of IoT, artificial intelligence, big data, cloud computing and other technologies to provide IoT solutions for intelligent upgrades in cities, parks, buildings and industries, to create a smart future. For more information, please visit www.beyondsoft.com. Responsibilities As an Artificial Intelligence (AI) Application Developer, you will be responsible for designing and developing software applications that leverage artificial intelligence to solve specific business problems. You will work closely with AI/ML engineers and data scientists to integrate AI capabilities into user-friendly applications. Role Responsibilities Develop and maintain AI-driven applications Collaborate with AI/ML engineers to integrate machine learning models into applications Ensure high performance and responsiveness of applications Conduct testing and debugging of AI applications Document application development processes for future reference and compliance Qualifications Bachelor's Degree in Computer Science, Software Engineering or related studies Minimum 3 years of relevant experience as Software Developer Strong programming skills in languages such as Python, Java, or C# Experience with AI frameworks and tools (e.g., TensorFlow, PyTorch) Understanding of user interface design and development. Experience in banking & finance domain required ",Beyondsoft Singapore,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3909133264
